Year,AgeGroup10,Deaths,Population,CrudeRate
2010,15-24,1697,43627025,3.8897907890808505
2010,25-34,3782,41247075,9.169135023513789
2010,35-44,12088,40981425,29.49629008752136
2011,15-24,1710,43758894.222222224,3.9077769911553317
2011,25-34,3663,41875049.166666664,8.747452415926517
2011,35-44,11963,40707663.777777776,29.387586733804593
2012,15-24,1656,43815432.777777776,3.7794902275617526
2012,25-34,3806,42445566.777777776,8.966778603584622
2012,35-44,11592,40655425.777777776,28.512799406804337
2013,15-24,1576,43762779.833333336,3.6012337561783236
2013,25-34,3812,43042651.66666667,8.856331690531302
2013,35-44,11613,40663932.33333333,28.558477583537854
2014,15-24,1645,43626305.88888889,3.7706607664412912
2014,25-34,3764,43675344.88888889,8.61813457816007
2014,35-44,11517,40702906.222222224,28.295276846133802
2015,15-24,1552,43416651.666666664,3.574665342494744
2015,25-34,3851,44279256.05555556,8.697074754752634
2015,35-44,11170,40813506.44444445,27.36839093990775
2016,15-24,1501,43191553.666666664,3.475216500855827
2016,25-34,3901,44887589.666666664,8.690598067235644
2016,35-44,11146,40896012,27.254491220317522
2017,15-24,1454,42962464.777777776,3.3843495886951014
2017,25-34,3759,45292841.166666664,8.299324800949872
2017,35-44,11104,41274622.88888889,26.902729141564592
2018,15-24,1452,42849690.11111111,3.3885892668882804
2018,25-34,3807,45488258.44444445,8.369192688811227
2018,35-44,10853,41832517.55555555,25.94393221872603
2019,15-24,1454,42882887.5,3.3906298870382736
2019,25-34,3689,45637262,8.083307013466321
2019,35-44,10922,42378342.5,25.77259835020683
2020,15-24,1371,43027431,3.186339430769176
2020,25-34,3704,45683557,8.107950088037146
2020,35-44,10981,42909680,25.59096222577283
2021,15-24,1406,43133546,3.259643897582638
2021,25-34,3741,45527186,8.217068368776406
2021,35-44,11434,43427547,26.32891054150491
2022,15-24,1495,43644004,3.425441900335267
2022,25-34,3747,45724534,8.194725396217269
2022,35-44,11433,43996202,25.9863340021941
2023,15-24,1531,44271520,3.4582051847327584
2023,25-34,3615,46048617,7.850398634121846
2023,35-44,11522,44712957,25.768816855481063
