"Notes","Year","Year Code","Month","Month Code",Deaths,Population,Crude Rate
,"2010","2010","Jan., 2010","2010/01",2178,Not Applicable,Not Applicable
,"2010","2010","Feb., 2010","2010/02",1938,Not Applicable,Not Applicable
,"2010","2010","Mar., 2010","2010/03",2057,Not Applicable,Not Applicable
,"2010","2010","Apr., 2010","2010/04",2077,Not Applicable,Not Applicable
,"2010","2010","May, 2010","2010/05",2128,Not Applicable,Not Applicable
,"2010","2010","Jun., 2010","2010/06",1969,Not Applicable,Not Applicable
,"2010","2010","Jul., 2010","2010/07",2044,Not Applicable,Not Applicable
,"2010","2010","Aug., 2010","2010/08",2124,Not Applicable,Not Applicable
,"2010","2010","Sep., 2010","2010/09",2032,Not Applicable,Not Applicable
,"2010","2010","Oct., 2010","2010/10",2113,Not Applicable,Not Applicable
,"2010","2010","Nov., 2010","2010/11",1973,Not Applicable,Not Applicable
,"2010","2010","Dec., 2010","2010/12",1953,Not Applicable,Not Applicable
"Total","2010","2010",,,24586,Not Applicable,Not Applicable
,"2011","2011","Jan., 2011","2011/01",1979,Not Applicable,Not Applicable
,"2011","2011","Feb., 2011","2011/02",1911,Not Applicable,Not Applicable
,"2011","2011","Mar., 2011","2011/03",2106,Not Applicable,Not Applicable
,"2011","2011","Apr., 2011","2011/04",1976,Not Applicable,Not Applicable
,"2011","2011","May, 2011","2011/05",2005,Not Applicable,Not Applicable
,"2011","2011","Jun., 2011","2011/06",1973,Not Applicable,Not Applicable
,"2011","2011","Jul., 2011","2011/07",1975,Not Applicable,Not Applicable
,"2011","2011","Aug., 2011","2011/08",2090,Not Applicable,Not Applicable
,"2011","2011","Sep., 2011","2011/09",1968,Not Applicable,Not Applicable
,"2011","2011","Oct., 2011","2011/10",2104,Not Applicable,Not Applicable
,"2011","2011","Nov., 2011","2011/11",1967,Not Applicable,Not Applicable
,"2011","2011","Dec., 2011","2011/12",1931,Not Applicable,Not Applicable
"Total","2011","2011",,,23985,Not Applicable,Not Applicable
,"2012","2012","Jan., 2012","2012/01",1914,Not Applicable,Not Applicable
,"2012","2012","Feb., 2012","2012/02",1932,Not Applicable,Not Applicable
,"2012","2012","Mar., 2012","2012/03",1955,Not Applicable,Not Applicable
,"2012","2012","Apr., 2012","2012/04",1996,Not Applicable,Not Applicable
,"2012","2012","May, 2012","2012/05",2053,Not Applicable,Not Applicable
,"2012","2012","Jun., 2012","2012/06",1931,Not Applicable,Not Applicable
,"2012","2012","Jul., 2012","2012/07",1982,Not Applicable,Not Applicable
,"2012","2012","Aug., 2012","2012/08",2013,Not Applicable,Not Applicable
,"2012","2012","Sep., 2012","2012/09",1992,Not Applicable,Not Applicable
,"2012","2012","Oct., 2012","2012/10",2020,Not Applicable,Not Applicable
,"2012","2012","Nov., 2012","2012/11",1900,Not Applicable,Not Applicable
,"2012","2012","Dec., 2012","2012/12",1941,Not Applicable,Not Applicable
"Total","2012","2012",,,23629,Not Applicable,Not Applicable
,"2013","2013","Jan., 2013","2013/01",1986,Not Applicable,Not Applicable
,"2013","2013","Feb., 2013","2013/02",1818,Not Applicable,Not Applicable
,"2013","2013","Mar., 2013","2013/03",1992,Not Applicable,Not Applicable
,"2013","2013","Apr., 2013","2013/04",1910,Not Applicable,Not Applicable
,"2013","2013","May, 2013","2013/05",2028,Not Applicable,Not Applicable
,"2013","2013","Jun., 2013","2013/06",1966,Not Applicable,Not Applicable
,"2013","2013","Jul., 2013","2013/07",1969,Not Applicable,Not Applicable
,"2013","2013","Aug., 2013","2013/08",1973,Not Applicable,Not Applicable
,"2013","2013","Sep., 2013","2013/09",1955,Not Applicable,Not Applicable
,"2013","2013","Oct., 2013","2013/10",2044,Not Applicable,Not Applicable
,"2013","2013","Nov., 2013","2013/11",1845,Not Applicable,Not Applicable
,"2013","2013","Dec., 2013","2013/12",1954,Not Applicable,Not Applicable
"Total","2013","2013",,,23440,Not Applicable,Not Applicable
,"2014","2014","Jan., 2014","2014/01",1935,Not Applicable,Not Applicable
,"2014","2014","Feb., 2014","2014/02",1805,Not Applicable,Not Applicable
,"2014","2014","Mar., 2014","2014/03",1932,Not Applicable,Not Applicable
,"2014","2014","Apr., 2014","2014/04",1966,Not Applicable,Not Applicable
,"2014","2014","May, 2014","2014/05",2037,Not Applicable,Not Applicable
,"2014","2014","Jun., 2014","2014/06",1915,Not Applicable,Not Applicable
,"2014","2014","Jul., 2014","2014/07",1974,Not Applicable,Not Applicable
,"2014","2014","Aug., 2014","2014/08",1946,Not Applicable,Not Applicable
,"2014","2014","Sep., 2014","2014/09",1901,Not Applicable,Not Applicable
,"2014","2014","Oct., 2014","2014/10",2000,Not Applicable,Not Applicable
,"2014","2014","Nov., 2014","2014/11",1886,Not Applicable,Not Applicable
,"2014","2014","Dec., 2014","2014/12",1918,Not Applicable,Not Applicable
"Total","2014","2014",,,23215,Not Applicable,Not Applicable
,"2015","2015","Jan., 2015","2015/01",2018,Not Applicable,Not Applicable
,"2015","2015","Feb., 2015","2015/02",1855,Not Applicable,Not Applicable
,"2015","2015","Mar., 2015","2015/03",2021,Not Applicable,Not Applicable
,"2015","2015","Apr., 2015","2015/04",1960,Not Applicable,Not Applicable
,"2015","2015","May, 2015","2015/05",1975,Not Applicable,Not Applicable
,"2015","2015","Jun., 2015","2015/06",2013,Not Applicable,Not Applicable
,"2015","2015","Jul., 2015","2015/07",1977,Not Applicable,Not Applicable
,"2015","2015","Aug., 2015","2015/08",1987,Not Applicable,Not Applicable
,"2015","2015","Sep., 2015","2015/09",1958,Not Applicable,Not Applicable
,"2015","2015","Oct., 2015","2015/10",1913,Not Applicable,Not Applicable
,"2015","2015","Nov., 2015","2015/11",1816,Not Applicable,Not Applicable
,"2015","2015","Dec., 2015","2015/12",1962,Not Applicable,Not Applicable
"Total","2015","2015",,,23455,Not Applicable,Not Applicable
,"2016","2016","Jan., 2016","2016/01",1932,Not Applicable,Not Applicable
,"2016","2016","Feb., 2016","2016/02",1894,Not Applicable,Not Applicable
,"2016","2016","Mar., 2016","2016/03",2011,Not Applicable,Not Applicable
,"2016","2016","Apr., 2016","2016/04",1889,Not Applicable,Not Applicable
,"2016","2016","May, 2016","2016/05",1951,Not Applicable,Not Applicable
,"2016","2016","Jun., 2016","2016/06",1945,Not Applicable,Not Applicable
,"2016","2016","Jul., 2016","2016/07",1935,Not Applicable,Not Applicable
,"2016","2016","Aug., 2016","2016/08",1972,Not Applicable,Not Applicable
,"2016","2016","Sep., 2016","2016/09",1931,Not Applicable,Not Applicable
,"2016","2016","Oct., 2016","2016/10",1971,Not Applicable,Not Applicable
,"2016","2016","Nov., 2016","2016/11",1836,Not Applicable,Not Applicable
,"2016","2016","Dec., 2016","2016/12",1894,Not Applicable,Not Applicable
"Total","2016","2016",,,23161,Not Applicable,Not Applicable
,"2017","2017","Jan., 2017","2017/01",1887,Not Applicable,Not Applicable
,"2017","2017","Feb., 2017","2017/02",1714,Not Applicable,Not Applicable
,"2017","2017","Mar., 2017","2017/03",1901,Not Applicable,Not Applicable
,"2017","2017","Apr., 2017","2017/04",1880,Not Applicable,Not Applicable
,"2017","2017","May, 2017","2017/05",1879,Not Applicable,Not Applicable
,"2017","2017","Jun., 2017","2017/06",1967,Not Applicable,Not Applicable
,"2017","2017","Jul., 2017","2017/07",1780,Not Applicable,Not Applicable
,"2017","2017","Aug., 2017","2017/08",1896,Not Applicable,Not Applicable
,"2017","2017","Sep., 2017","2017/09",1906,Not Applicable,Not Applicable
,"2017","2017","Oct., 2017","2017/10",1880,Not Applicable,Not Applicable
,"2017","2017","Nov., 2017","2017/11",1798,Not Applicable,Not Applicable
,"2017","2017","Dec., 2017","2017/12",1847,Not Applicable,Not Applicable
"Total","2017","2017",,,22335,Not Applicable,Not Applicable
,"2018","2018","Jan., 2018","2018/01",1900,Not Applicable,Not Applicable
,"2018","2018","Feb., 2018","2018/02",1657,Not Applicable,Not Applicable
,"2018","2018","Mar., 2018","2018/03",1872,Not Applicable,Not Applicable
,"2018","2018","Apr., 2018","2018/04",1756,Not Applicable,Not Applicable
,"2018","2018","May, 2018","2018/05",1785,Not Applicable,Not Applicable
,"2018","2018","Jun., 2018","2018/06",1707,Not Applicable,Not Applicable
,"2018","2018","Jul., 2018","2018/07",1826,Not Applicable,Not Applicable
,"2018","2018","Aug., 2018","2018/08",1813,Not Applicable,Not Applicable
,"2018","2018","Sep., 2018","2018/09",1830,Not Applicable,Not Applicable
,"2018","2018","Oct., 2018","2018/10",1858,Not Applicable,Not Applicable
,"2018","2018","Nov., 2018","2018/11",1724,Not Applicable,Not Applicable
,"2018","2018","Dec., 2018","2018/12",1739,Not Applicable,Not Applicable
"Total","2018","2018",,,21467,Not Applicable,Not Applicable
,"2019","2019","Jan., 2019","2019/01",1706,Not Applicable,Not Applicable
,"2019","2019","Feb., 2019","2019/02",1635,Not Applicable,Not Applicable
,"2019","2019","Mar., 2019","2019/03",1838,Not Applicable,Not Applicable
,"2019","2019","Apr., 2019","2019/04",1734,Not Applicable,Not Applicable
,"2019","2019","May, 2019","2019/05",1800,Not Applicable,Not Applicable
,"2019","2019","Jun., 2019","2019/06",1783,Not Applicable,Not Applicable
,"2019","2019","Jul., 2019","2019/07",1768,Not Applicable,Not Applicable
,"2019","2019","Aug., 2019","2019/08",1778,Not Applicable,Not Applicable
,"2019","2019","Sep., 2019","2019/09",1720,Not Applicable,Not Applicable
,"2019","2019","Oct., 2019","2019/10",1697,Not Applicable,Not Applicable
