"Notes","Year","Year Code","Month","Month Code",Deaths,Population,Crude Rate
,"2021","2021","Jan., 2021","2021/01",1670,Not Applicable,Not Applicable
,"2021","2021","Feb., 2021","2021/02",1482,Not Applicable,Not Applicable
,"2021","2021","Mar., 2021","2021/03",1660,Not Applicable,Not Applicable
,"2021","2021","Apr., 2021","2021/04",1653,Not Applicable,Not Applicable
,"2021","2021","May, 2021","2021/05",1709,Not Applicable,Not Applicable
,"2021","2021","Jun., 2021","2021/06",1610,Not Applicable,Not Applicable
,"2021","2021","Jul., 2021","2021/07",1688,Not Applicable,Not Applicable
,"2021","2021","Aug., 2021","2021/08",1702,Not Applicable,Not Applicable
,"2021","2021","Sep., 2021","2021/09",1720,Not Applicable,Not Applicable
,"2021","2021","Oct., 2021","2021/10",1717,Not Applicable,Not Applicable
,"2021","2021","Nov., 2021","2021/11",1589,Not Applicable,Not Applicable
,"2021","2021","Dec., 2021","2021/12",1720,Not Applicable,Not Applicable
"Total","2021","2021",,,19920,Not Applicable,Not Applicable
,"2022","2022","Jan., 2022","2022/01",1674,Not Applicable,Not Applicable
,"2022","2022","Feb., 2022","2022/02",1508,Not Applicable,Not Applicable
,"2022","2022","Mar., 2022","2022/03",1682,Not Applicable,Not Applicable
,"2022","2022","Apr., 2022","2022/04",1622,Not Applicable,Not Applicable
,"2022","2022","May, 2022","2022/05",1735,Not Applicable,Not Applicable
,"2022","2022","Jun., 2022","2022/06",1745,Not Applicable,Not Applicable
,"2022","2022","Jul., 2022","2022/07",1771,Not Applicable,Not Applicable
,"2022","2022","Aug., 2022","2022/08",1809,Not Applicable,Not Applicable
,"2022","2022","Sep., 2022","2022/09",1724,Not Applicable,Not Applicable
,"2022","2022","Oct., 2022","2022/10",1810,Not Applicable,Not Applicable
,"2022","2022","Nov., 2022","2022/11",1719,Not Applicable,Not Applicable
,"2022","2022","Dec., 2022","2022/12",1754,Not Applicable,Not Applicable
"Total","2022","2022",,,20553,Not Applicable,Not Applicable
,"2023","2023","Jan., 2023","2023/01",1753,Not Applicable,Not Applicable
,"2023","2023","Feb., 2023","2023/02",1517,Not Applicable,Not Applicable
,"2023","2023","Mar., 2023","2023/03",1795,Not Applicable,Not Applicable
,"2023","2023","Apr., 2023","2023/04",1656,Not Applicable,Not Applicable
,"2023","2023","May, 2023","2023/05",1675,Not Applicable,Not Applicable
,"2023","2023","Jun., 2023","2023/06",1670,Not Applicable,Not Applicable
,"2023","2023","Jul., 2023","2023/07",1673,Not Applicable,Not Applicable
,"2023","2023","Aug., 2023","2023/08",1710,Not Applicable,Not Applicable
,"2023","2023","Sep., 2023","2023/09",1645,Not Applicable,Not Applicable
,"2023","2023","Oct., 2023","2023/10",1691,Not Applicable,Not Applicable
,"2023","2023","Nov., 2023","2023/11",1606,Not Applicable,Not Applicable
,"2023","2023","Dec., 2023","2023/12",1754,Not Applicable,Not Applicable
"Total","2023","2023",,,20145,Not Applicable,Not Applicable
,"2024 (provisional)","2024","Jan., 2024 (provisional)","2024/01",1690,Not Applicable,Not Applicable
,"2024 (provisional)","2024","Feb., 2024 (provisional)","2024/02",1611,Not Applicable,Not Applicable
,"2024 (provisional)","2024","Mar., 2024 (provisional)","2024/03",1748,Not Applicable,Not Applicable
,"2024 (provisional)","2024","Apr., 2024 (provisional)","2024/04",1652,Not Applicable,Not Applicable
,"2024 (provisional)","2024","May, 2024 (provisional)","2024/05",1729,Not Applicable,Not Applicable
,"2024 (provisional)","2024","Jun., 2024 (provisional)","2024/06",1639,Not Applicable,Not Applicable
,"2024 (provisional)","2024","Jul., 2024 (provisional)","2024/07",1691,Not Applicable,Not Applicable
,"2024 (provisional)","2024","Aug., 2024 (provisional)","2024/08",1599,Not Applicable,Not Applicable
,"2024 (provisional)","2024","Sep., 2024 (provisional)","2024/09",1654,Not Applicable,Not Applicable
,"2024 (provisional)","2024","Oct., 2024 (provisional)","2024/10",1690,Not Applicable,Not Applicable
,"2024 (provisional)","2024","Nov., 2024 (provisional)","2024/11",1694,Not Applicable,Not Applicable
,"2024 (provisional)","2024","Dec., 2024 (provisional)","2024/12",1653,Not Applicable,Not Applicable
"Total","2024 (provisional)","2024",,,20050,Not Applicable,Not Applicable
,"2025 (provisional and partial)","2025","Jan., 2025 (provisional and partial)","2025/01",1653,Not Applicable,Not Applicable
,"2025 (provisional and partial)","2025","Feb., 2025 (provisional and partial)","2025/02",1527,Not Applicable,Not Applicable
,"2025 (provisional and partial)","2025","Mar., 2025 (provisional and partial)","2025/03",1609,Not Applicable,Not Applicable
,"2025 (provisional and partial)","2025","Apr., 2025 (provisional and partial)","2025/04",1620,Not Applicable,Not Applicable
,"2025 (provisional and partial)","2025","May, 2025 (provisional and partial)","2025/05",1616,Not Applicable,Not Applicable
,"2025 (provisional and partial)","2025","Jun., 2025 (provisional and partial)","2025/06",1455,Not Applicable,Not Applicable
,"2025 (provisional and partial)","2025","Jul., 2025 (provisional and partial)","2025/07",1487,Not Applicable,Not Applicable
,"2025 (provisional and partial)","2025","Aug., 2025 (provisional and partial)","2025/08",1045,Not Applicable,Not Applicable
,"2025 (provisional and partial)","2025","Sep., 2025 (provisional and partial)","2025/09",66,Not Applicable,Not Applicable
"Total","2025 (provisional and partial)","2025",,,12078,Not Applicable,Not Applicable
"Total",,,,,92746,Not Applicable,Not Applicable
"---"
"Dataset: Provisional Mortality Statistics, 2018 through Last Week"
"Query Parameters:"
"Ten-Year Age Groups: < 1 year"
"Year/Month: 2021; 2022; 2023; 2024 (provisional); 2025 (provisional and partial)"
"Group By: Year; Month"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd-provisional.html for more information."
"---"
"Query Date: Sep 21, 2025 7:36:08 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Provisional Mortality on CDC WONDER Online Database. Data are from the final Multiple Cause of Death Files, 2018-2023,"
"and from provisional data for years 2024 and later, as compiled from data provided by the 57 vital statistics jurisdictions"
"through the Vital Statistics Cooperative Program. Accessed at http://wonder.cdc.gov/mcd-icd10-provisional.html on Sep 21, 2025"
"7:36:08 AM"
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when location of Death's Occurrence, Autopsy, Place of Death, Weekday or"
"Month are grouped by or limited, due to lack of a valid population. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#NotApplicableRates."
"2. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
