"Notes","Year","Year Code","Month","Month Code",Deaths,Population,Crude Rate
,"2021","2021","Jan., 2021","2021/01",372916,Not Applicable,Not Applicable
,"2021","2021","Feb., 2021","2021/02",282015,Not Applicable,Not Applicable
,"2021","2021","Mar., 2021","2021/03",270527,Not Applicable,Not Applicable
,"2021","2021","Apr., 2021","2021/04",256523,Not Applicable,Not Applicable
,"2021","2021","May, 2021","2021/05",257798,Not Applicable,Not Applicable
,"2021","2021","Jun., 2021","2021/06",244671,Not Applicable,Not Applicable
,"2021","2021","Jul., 2021","2021/07",257328,Not Applicable,Not Applicable
,"2021","2021","Aug., 2021","2021/08",303261,Not Applicable,Not Applicable
,"2021","2021","Sep., 2021","2021/09",311830,Not Applicable,Not Applicable
,"2021","2021","Oct., 2021","2021/10",299591,Not Applicable,Not Applicable
,"2021","2021","Nov., 2021","2021/11",288483,Not Applicable,Not Applicable
,"2021","2021","Dec., 2021","2021/12",319288,Not Applicable,Not Applicable
"Total","2021","2021",,,3464231,Not Applicable,Not Applicable
,"2022","2022","Jan., 2022","2022/01",369459,Not Applicable,Not Applicable
,"2022","2022","Feb., 2022","2022/02",290309,Not Applicable,Not Applicable
,"2022","2022","Mar., 2022","2022/03",268246,Not Applicable,Not Applicable
,"2022","2022","Apr., 2022","2022/04",246083,Not Applicable,Not Applicable
,"2022","2022","May, 2022","2022/05",254396,Not Applicable,Not Applicable
,"2022","2022","Jun., 2022","2022/06",248080,Not Applicable,Not Applicable
,"2022","2022","Jul., 2022","2022/07",260129,Not Applicable,Not Applicable
,"2022","2022","Aug., 2022","2022/08",258926,Not Applicable,Not Applicable
,"2022","2022","Sep., 2022","2022/09",250891,Not Applicable,Not Applicable
,"2022","2022","Oct., 2022","2022/10",264956,Not Applicable,Not Applicable
,"2022","2022","Nov., 2022","2022/11",268002,Not Applicable,Not Applicable
,"2022","2022","Dec., 2022","2022/12",300380,Not Applicable,Not Applicable
"Total","2022","2022",,,3279857,Not Applicable,Not Applicable
,"2023","2023","Jan., 2023","2023/01",288757,Not Applicable,Not Applicable
,"2023","2023","Feb., 2023","2023/02",248665,Not Applicable,Not Applicable
,"2023","2023","Mar., 2023","2023/03",268769,Not Applicable,Not Applicable
,"2023","2023","Apr., 2023","2023/04",251834,Not Applicable,Not Applicable
,"2023","2023","May, 2023","2023/05",252167,Not Applicable,Not Applicable
,"2023","2023","Jun., 2023","2023/06",240809,Not Applicable,Not Applicable
,"2023","2023","Jul., 2023","2023/07",246581,Not Applicable,Not Applicable
,"2023","2023","Aug., 2023","2023/08",249931,Not Applicable,Not Applicable
,"2023","2023","Sep., 2023","2023/09",244478,Not Applicable,Not Applicable
,"2023","2023","Oct., 2023","2023/10",258159,Not Applicable,Not Applicable
,"2023","2023","Nov., 2023","2023/11",257440,Not Applicable,Not Applicable
,"2023","2023","Dec., 2023","2023/12",283374,Not Applicable,Not Applicable
"Total","2023","2023",,,3090964,Not Applicable,Not Applicable
,"2024 (provisional)","2024","Jan., 2024 (provisional)","2024/01",294589,Not Applicable,Not Applicable
,"2024 (provisional)","2024","Feb., 2024 (provisional)","2024/02",255129,Not Applicable,Not Applicable
,"2024 (provisional)","2024","Mar., 2024 (provisional)","2024/03",263199,Not Applicable,Not Applicable
,"2024 (provisional)","2024","Apr., 2024 (provisional)","2024/04",248972,Not Applicable,Not Applicable
,"2024 (provisional)","2024","May, 2024 (provisional)","2024/05",249911,Not Applicable,Not Applicable
,"2024 (provisional)","2024","Jun., 2024 (provisional)","2024/06",242177,Not Applicable,Not Applicable
,"2024 (provisional)","2024","Jul., 2024 (provisional)","2024/07",248384,Not Applicable,Not Applicable
,"2024 (provisional)","2024","Aug., 2024 (provisional)","2024/08",250539,Not Applicable,Not Applicable
,"2024 (provisional)","2024","Sep., 2024 (provisional)","2024/09",241904,Not Applicable,Not Applicable
,"2024 (provisional)","2024","Oct., 2024 (provisional)","2024/10",254644,Not Applicable,Not Applicable
,"2024 (provisional)","2024","Nov., 2024 (provisional)","2024/11",247967,Not Applicable,Not Applicable
,"2024 (provisional)","2024","Dec., 2024 (provisional)","2024/12",275251,Not Applicable,Not Applicable
"Total","2024 (provisional)","2024",,,3072666,Not Applicable,Not Applicable
,"2025 (provisional and partial)","2025","Jan., 2025 (provisional and partial)","2025/01",299825,Not Applicable,Not Applicable
,"2025 (provisional and partial)","2025","Feb., 2025 (provisional and partial)","2025/02",268627,Not Applicable,Not Applicable
,"2025 (provisional and partial)","2025","Mar., 2025 (provisional and partial)","2025/03",276077,Not Applicable,Not Applicable
,"2025 (provisional and partial)","2025","Apr., 2025 (provisional and partial)","2025/04",248913,Not Applicable,Not Applicable
,"2025 (provisional and partial)","2025","May, 2025 (provisional and partial)","2025/05",250046,Not Applicable,Not Applicable
,"2025 (provisional and partial)","2025","Jun., 2025 (provisional and partial)","2025/06",238924,Not Applicable,Not Applicable
,"2025 (provisional and partial)","2025","Jul., 2025 (provisional and partial)","2025/07",241492,Not Applicable,Not Applicable
,"2025 (provisional and partial)","2025","Aug., 2025 (provisional and partial)","2025/08",220809,Not Applicable,Not Applicable
,"2025 (provisional and partial)","2025","Sep., 2025 (provisional and partial)","2025/09",28227,Not Applicable,Not Applicable
"Total","2025 (provisional and partial)","2025",,,2072940,Not Applicable,Not Applicable
"Total",,,,,14980658,Not Applicable,Not Applicable
"---"
"Dataset: Provisional Mortality Statistics, 2018 through Last Week"
"Query Parameters:"
"Year/Month: 2021; 2022; 2023; 2024 (provisional); 2025 (provisional and partial)"
"Group By: Year; Month"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd-provisional.html for more information."
"---"
"Query Date: Sep 19, 2025 10:15:07 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Provisional Mortality on CDC WONDER Online Database. Data are from the final Multiple Cause of Death Files, 2018-2023,"
"and from provisional data for years 2024 and later, as compiled from data provided by the 57 vital statistics jurisdictions"
"through the Vital Statistics Cooperative Program. Accessed at http://wonder.cdc.gov/mcd-icd10-provisional.html on Sep 19, 2025"
"10:15:07 AM"
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when location of Death's Occurrence, Autopsy, Place of Death, Weekday or"
"Month are grouped by or limited, due to lack of a valid population. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#NotApplicableRates."
"2. Connecticut population estimates for 2022 and later years are reported for 9 planning regions as county equivalent areas,"
"instead of the former 8 legacy counties in the Vintage 2022 postcensal series released by the Census Bureau on June 22, 2023,"
"and in the Vintage 2023 postcensal series released by the Census Bureau on June 27, 2024. Populations estimates for the former"
"counties are not available for 2022 and later years. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Connecticut-2022."
"3. After the creation of the final 2023 dataset, North Carolina updated the cause of death information for over 900 death"
"certificates to include a cause of death code indicating drug overdose (ICD-10 underlying cause-of-death codes: X40-X44,"
"X60-X64, X85, and Y10-Y14). Jurisdictions can continue to update death certificates after the closing of the mortality file. As"
"a result, users should consider that the actual death count for drug overdose deaths for North Carolina in 2023 is over 4,400"
"deaths, with a crude rate of approximately 41.0 per 100,000 population, and an age-adjusted rate of approximately 42.1 per"
"100,000 population. These deaths will not be updated on the final mortality datasets."
