Notes,Five-Year Age Groups,Five-Year Age Groups Code,Year,Year Code,Month,Month Code,Deaths
,< 1 year,1,2021,2021,"Jan., 2021",2021/01,1670
,< 1 year,1,2021,2021,"Feb., 2021",2021/02,1482
,< 1 year,1,2021,2021,"Mar., 2021",2021/03,1660
,< 1 year,1,2021,2021,"Apr., 2021",2021/04,1653
,< 1 year,1,2021,2021,"May, 2021",2021/05,1709
,< 1 year,1,2021,2021,"Jun., 2021",2021/06,1610
,< 1 year,1,2021,2021,"Jul., 2021",2021/07,1688
,< 1 year,1,2021,2021,"Aug., 2021",2021/08,1702
,< 1 year,1,2021,2021,"Sep., 2021",2021/09,1720
,< 1 year,1,2021,2021,"oct., 2021",2021/10,1717
,< 1 year,1,2021,2021,"nov., 2021",2021/11,1589
,< 1 year,1,2021,2021,"Dec., 2021",2021/12,1720
Total,< 1 year,1,2021,2021,,,19920
,< 1 year,1,2022,2022,"Jan., 2022",2022/01,1674
,< 1 year,1,2022,2022,"Feb., 2022",2022/02,1508
,< 1 year,1,2022,2022,"Mar., 2022",2022/03,1682
,< 1 year,1,2022,2022,"Apr., 2022",2022/04,1622
,< 1 year,1,2022,2022,"May, 2022",2022/05,1735
,< 1 year,1,2022,2022,"Jun., 2022",2022/06,1745
,< 1 year,1,2022,2022,"Jul., 2022",2022/07,1771
,< 1 year,1,2022,2022,"Aug., 2022",2022/08,1809
,< 1 year,1,2022,2022,"Sep., 2022",2022/09,1724
,< 1 year,1,2022,2022,"oct., 2022",2022/10,1810
,< 1 year,1,2022,2022,"nov., 2022",2022/11,1719
,< 1 year,1,2022,2022,"Dec., 2022",2022/12,1754
Total,< 1 year,1,2022,2022,,,20553
,< 1 year,1,2023,2023,"Jan., 2023 ",2023/01,1753
,< 1 year,1,2023,2023,"Feb., 2023 ",2023/02,1517
,< 1 year,1,2023,2023,"Mar., 2023 ",2023/03,1795
,< 1 year,1,2023,2023,"Apr., 2023 ",2023/04,1656
,< 1 year,1,2023,2023,"May, 2023 ",2023/05,1675
,< 1 year,1,2023,2023,"Jun., 2023 ",2023/06,1670
,< 1 year,1,2023,2023,"Jul., 2023 ",2023/07,1673
,< 1 year,1,2023,2023,"Aug., 2023 ",2023/08,1710
,< 1 year,1,2023,2023,"Sep., 2023 ",2023/09,1645
,< 1 year,1,2023,2023,"oct., 2023",2023/10,1691
,< 1 year,1,2023,2023,"nov., 2023",2023/11,1606
,< 1 year,1,2023,2023,"Dec., 2023 ",2023/12,1754
Total,< 1 year,1,2023,2023,,,20145
Total,< 1 year,1,,,,,60618
,1-4 years,1-4,2021,2021,"Jan., 2021",2021/01,271
,1-4 years,1-4,2021,2021,"Feb., 2021",2021/02,264
,1-4 years,1-4,2021,2021,"Mar., 2021",2021/03,264
,1-4 years,1-4,2021,2021,"Apr., 2021",2021/04,317
,1-4 years,1-4,2021,2021,"May, 2021",2021/05,355
,1-4 years,1-4,2021,2021,"Jun., 2021",2021/06,338
,1-4 years,1-4,2021,2021,"Jul., 2021",2021/07,353
,1-4 years,1-4,2021,2021,"Aug., 2021",2021/08,342
,1-4 years,1-4,2021,2021,"Sep., 2021",2021/09,337
,1-4 years,1-4,2021,2021,"oct., 2021",2021/10,323
,1-4 years,1-4,2021,2021,"nov., 2021",2021/11,312
,1-4 years,1-4,2021,2021,"Dec., 2021",2021/12,340
Total,1-4 years,1-4,2021,2021,,,3816
,1-4 years,1-4,2022,2022,"Jan., 2022",2022/01,310
,1-4 years,1-4,2022,2022,"Feb., 2022",2022/02,292
,1-4 years,1-4,2022,2022,"Mar., 2022",2022/03,320
,1-4 years,1-4,2022,2022,"Apr., 2022",2022/04,324
,1-4 years,1-4,2022,2022,"May, 2022",2022/05,371
,1-4 years,1-4,2022,2022,"Jun., 2022",2022/06,385
,1-4 years,1-4,2022,2022,"Jul., 2022",2022/07,416
,1-4 years,1-4,2022,2022,"Aug., 2022",2022/08,340
,1-4 years,1-4,2022,2022,"Sep., 2022",2022/09,304
,1-4 years,1-4,2022,2022,"oct., 2022",2022/10,340
,1-4 years,1-4,2022,2022,"nov., 2022",2022/11,392
,1-4 years,1-4,2022,2022,"Dec., 2022",2022/12,362
Total,1-4 years,1-4,2022,2022,,,4156
,1-4 years,1-4,2023,2023,"Jan., 2023 ",2023/01,323
,1-4 years,1-4,2023,2023,"Feb., 2023 ",2023/02,287
,1-4 years,1-4,2023,2023,"Mar., 2023 ",2023/03,363
,1-4 years,1-4,2023,2023,"Apr., 2023 ",2023/04,333
,1-4 years,1-4,2023,2023,"May, 2023 ",2023/05,365
,1-4 years,1-4,2023,2023,"Jun., 2023 ",2023/06,336
,1-4 years,1-4,2023,2023,"Jul., 2023 ",2023/07,397
,1-4 years,1-4,2023,2023,"Aug., 2023 ",2023/08,359
,1-4 years,1-4,2023,2023,"Sep., 2023 ",2023/09,330
,1-4 years,1-4,2023,2023,"oct., 2023",2023/10,301
,1-4 years,1-4,2023,2023,"nov., 2023",2023/11,297
,1-4 years,1-4,2023,2023,"Dec., 2023 ",2023/12,368
Total,1-4 years,1-4,2023,2023,,,4059
Total,1-4 years,1-4,,,,,12031
,5-9 years,5-9,2021,2021,"Jan., 2021",2021/01,178
,5-9 years,5-9,2021,2021,"Feb., 2021",2021/02,165
,5-9 years,5-9,2021,2021,"Mar., 2021",2021/03,191
,5-9 years,5-9,2021,2021,"Apr., 2021",2021/04,195
