Notes,Five-Year Age Groups,Five-Year Age Groups Code,Year,Year Code,Month,Month Code,Deaths
,< 1 year,1,2021,2021,"Aug., 2021",2021/08,16
,< 1 year,1,2021,2021,"Sep., 2021",2021/09,20
,< 1 year,1,2021,2021,"Dec., 2021",2021/12,12
,< 1 year,1,2022,2022,"Jan., 2022",2022/01,37
,< 1 year,1,2022,2022,"Feb., 2022",2022/02,14
,< 1 year,1,2022,2022,"Jul., 2022",2022/07,10
,< 1 year,1,2022,2022,"Aug., 2022",2022/08,16
,< 1 year,1,2022,2022,"Sep., 2022",2022/09,11
,< 1 year,1,2022,2022,"oct., 2022",2022/10,11
,< 1 year,1,2022,2022,"Dec., 2022",2022/12,12
,< 1 year,1,2023,2023,"Jan., 2023 ",2023/01,14
,1-4 years,1-4,2021,2021,"Aug., 2021",2021/08,10
,1-4 years,1-4,2021,2021,"Sep., 2021",2021/09,11
,1-4 years,1-4,2022,2022,"Jan., 2022",2022/01,20
,1-4 years,1-4,2022,2022,"Aug., 2022",2022/08,13
,1-4 years,1-4,2022,2022,"oct., 2022",2022/10,10
,1-4 years,1-4,2023,2023,"Jan., 2023 ",2023/01,10
,5-9 years,5-9,2021,2021,"Sep., 2021",2021/09,13
,5-9 years,5-9,2021,2021,"Dec., 2021",2021/12,14
,5-9 years,5-9,2022,2022,"Jan., 2022",2022/01,17
,5-9 years,5-9,2022,2022,"Feb., 2022",2022/02,10
,10-14 years,10-14,2021,2021,"Aug., 2021",2021/08,15
,10-14 years,10-14,2021,2021,"Sep., 2021",2021/09,20
,10-14 years,10-14,2022,2022,"Jan., 2022",2022/01,24
,10-14 years,10-14,2022,2022,"Jul., 2022",2022/07,12
,15-19 years,15-19,2020,2020,"Apr., 2020",2020/04,11
,15-19 years,15-19,2020,2020,"Jul., 2020",2020/07,16
,15-19 years,15-19,2020,2020,"Aug., 2020",2020/08,15
,15-19 years,15-19,2020,2020,"nov., 2020",2020/11,18
,15-19 years,15-19,2020,2020,"Dec., 2020",2020/12,27
,15-19 years,15-19,2021,2021,"Jan., 2021",2021/01,25
,15-19 years,15-19,2021,2021,"Feb., 2021",2021/02,14
,15-19 years,15-19,2021,2021,"Mar., 2021",2021/03,12
,15-19 years,15-19,2021,2021,"May, 2021",2021/05,17
,15-19 years,15-19,2021,2021,"Jul., 2021",2021/07,20
,15-19 years,15-19,2021,2021,"Aug., 2021",2021/08,60
,15-19 years,15-19,2021,2021,"Sep., 2021",2021/09,74
,15-19 years,15-19,2021,2021,"oct., 2021",2021/10,46
,15-19 years,15-19,2021,2021,"nov., 2021",2021/11,30
,15-19 years,15-19,2021,2021,"Dec., 2021",2021/12,43
,15-19 years,15-19,2022,2022,"Jan., 2022",2022/01,59
,15-19 years,15-19,2022,2022,"Feb., 2022",2022/02,27
