Year,Deaths,Births,Rate,months_used
2010,24586,3999386,6.147443632597604,12
2011,23985,3953590,6.066638169359999,12
2012,23629,3952841,5.977725893857102,12
2013,23440,3932181,5.961068424876678,12
2014,23215,3988076,5.821102707170074,12
2015,23455,3978497,5.895442424614119,12
2016,23161,3945875,5.869674026673425,12
2017,22335,3855500,5.793022954221242,12
2018,21467,3791712,5.661558683781891,12
2019,20921,3747540,5.582595515991824,12
2020,19582,3613647,5.418902289017162,12
2021,19920,3664292,5.436247984603847,12
2022,20553,3667758,5.603695772730917,12
2023,20145,3596017,5.602031358583678,12
2024,20050,3618267,5.54132682856185,12
