"Year","Month","Deaths"
2010,"January",2178
2010,"February",1938
2010,"March",2057
2010,"April",2077
2010,"May",2128
2010,"June",1969
2010,"July",2044
2010,"August",2124
2010,"September",2032
2010,"October",2113
2010,"November",1973
2010,"December",1953
2011,"January",1979
2011,"February",1911
2011,"March",2106
2011,"April",1976
2011,"May",2005
2011,"June",1973
2011,"July",1975
2011,"August",2090
2011,"September",1968
2011,"October",2104
2011,"November",1967
2011,"December",1931
2012,"January",1914
2012,"February",1932
2012,"March",1955
2012,"April",1996
2012,"May",2053
2012,"June",1931
2012,"July",1982
2012,"August",2013
2012,"September",1992
2012,"October",2020
2012,"November",1900
2012,"December",1941
2013,"January",1986
2013,"February",1818
2013,"March",1992
2013,"April",1910
2013,"May",2028
2013,"June",1966
2013,"July",1969
2013,"August",1973
2013,"September",1955
2013,"October",2044
2013,"November",1845
2013,"December",1954
2014,"January",1935
2014,"February",1805
2014,"March",1932
2014,"April",1966
2014,"May",2037
2014,"June",1915
2014,"July",1974
2014,"August",1946
2014,"September",1901
2014,"October",2000
2014,"November",1886
2014,"December",1918
2015,"January",2018
2015,"February",1855
2015,"March",2021
2015,"April",1960
2015,"May",1975
2015,"June",2013
2015,"July",1977
2015,"August",1987
2015,"September",1958
2015,"October",1913
2015,"November",1816
2015,"December",1962
2016,"January",1932
2016,"February",1894
2016,"March",2011
2016,"April",1889
2016,"May",1951
2016,"June",1945
2016,"July",1935
2016,"August",1972
2016,"September",1931
2016,"October",1971
2016,"November",1836
2016,"December",1894
2017,"January",1887
2017,"February",1714
2017,"March",1901
2017,"April",1880
2017,"May",1879
2017,"June",1967
2017,"July",1780
2017,"August",1896
2017,"September",1906
2017,"October",1880
2017,"November",1798
2017,"December",1847
2018,"January",1900
2018,"February",1657
2018,"March",1872
2018,"April",1756
2018,"May",1785
2018,"June",1707
2018,"July",1826
2018,"August",1813
2018,"September",1830
2018,"October",1858
2018,"November",1724
2018,"December",1739
2019,"January",1706
2019,"February",1635
2019,"March",1838
2019,"April",1734
2019,"May",1800
2019,"June",1783
2019,"July",1768
2019,"August",1778
2019,"September",1720
2019,"October",1697
2019,"November",1700
2019,"December",1762
2020,"January",1777
2020,"February",1673
2020,"March",1646
2020,"April",1569
2020,"May",1692
2020,"June",1664
2020,"July",1649
2020,"August",1621
2020,"September",1602
2020,"October",1587
2020,"November",1559
2020,"December",1543
2021,"January",1670
2021,"February",1482
2021,"March",1660
2021,"April",1653
2021,"May",1709
2021,"June",1610
2021,"July",1688
2021,"August",1702
2021,"September",1720
2021,"October",1717
2021,"November",1589
2021,"December",1720
2022,"January",1674
2022,"February",1508
2022,"March",1682
2022,"April",1622
2022,"May",1735
2022,"June",1745
2022,"July",1771
2022,"August",1809
2022,"September",1724
2022,"October",1810
2022,"November",1719
2022,"December",1754
2023,"January",1753
2023,"February",1517
2023,"March",1795
2023,"April",1656
2023,"May",1675
2023,"June",1670
2023,"July",1673
2023,"August",1710
2023,"September",1645
2023,"October",1691
2023,"November",1606
2023,"December",1754
2024,"January",1690
2024,"February",1611
2024,"March",1748
2024,"April",1652
2024,"May",1729
2024,"June",1639
2024,"July",1691
2024,"August",1599
2024,"September",1654
2024,"October",1690
2024,"November",1694
2024,"December",1653
2025,"January",1653
2025,"February",1527
2025,"March",1609
2025,"April",1620
2025,"May",1616
2025,"June",1455
2025,"July",1487
2025,"August",1045
2025,"September",66
