Year,Month,Deaths,Births,Rate
2010,January,2178,323249,673.7839869574229
2010,February,1938,301994,641.7346039987549
2010,March,2057,338613,607.478153526297
2010,April,2077,325028,639.0218688851422
2010,May,2128,328273,648.2409457981619
2010,June,1969,334535,588.5781756766855
2010,July,2044,345199,592.1222251512895
2010,August,2124,349747,607.2961312034128
2010,September,2032,350745,579.3382656915993
2010,October,2113,336809,627.3585325807802
2010,November,1973,326220,604.8065722518546
2010,December,1953,338974,576.1503832152318
2011,January,1979,320477,617.5170137014512
2011,February,1911,297961,641.3591040438179
2011,March,2106,330151,637.8899352114638
2011,April,1976,313275,630.755725800016
2011,May,2005,326647,613.8124642197847
2011,June,1973,337280,584.9739089184061
2011,July,1975,345560,571.5360574140526
2011,August,2090,359404,581.5182913935292
2011,September,1968,345548,569.5301376364499
2011,October,2104,328488,640.5104600472467
2011,November,1967,321479,611.8595615887818
2011,December,1931,327320,589.942563851888
2012,January,1914,316315,605.0930243586298
2012,February,1932,304505,634.4723403556592
2012,March,1955,324322,602.7959867045714
2012,April,1996,306700,650.7988262145419
2012,May,2053,330146,621.8460923349064
2012,June,1931,327189,590.178765178536
2012,July,1982,347542,570.2907849986476
2012,August,2013,361114,557.4416943125993
2012,September,1992,340113,585.6876979121645
2012,October,2020,345497,584.6649898551941
2012,November,1900,325146,584.3528753237007
2012,December,1941,324252,598.6084896932016
2013,January,1986,323691,613.5481060641167
2013,February,1818,291748,623.14051852969
2013,March,1992,320529,621.4726280617355
2013,April,1910,311645,612.8768310096424
2013,May,2028,329520,615.4406409322651
2013,June,1966,319779,614.7995959709674
2013,July,1969,349158,563.9280784057647
2013,August,1973,353485,558.1566403100555
2013,September,1955,338008,578.3886771910724
2013,October,2044,340562,600.1844010782178
2013,November,1845,318482,579.3106046809553
2013,December,1954,335574,582.2858743526018
2014,January,1935,326366,592.8926420031498
2014,February,1805,298404,604.884653020737
2014,March,1932,323572,597.0850382604181
2014,April,1966,318990,616.3202608232233
2014,May,2037,334613,608.7629590003975
2014,June,1915,325981,587.4575512069722
2014,July,1974,355524,555.2367772639822
2014,August,1946,354257,549.3187149442354
2014,September,1901,348424,545.5996142630818
2014,October,2000,343356,582.485816470369
2014,November,1886,317998,593.0854911037177
2014,December,1918,340591,563.1387793570588
2015,January,2018,325955,619.1038640303109
2015,February,1855,298058,622.3620905998162
2015,March,2021,328923,614.4295169386148
2015,April,1960,320832,610.9116297626172
2015,May,1975,327917,602.2865542195128
2015,June,2013,330541,609.0016064572927
2015,July,1977,353415,559.3990068333262
2015,August,1987,351791,564.824000614001
2015,September,1958,347516,563.4272954338793
2015,October,1913,339007,564.2951325488855
