year,month,age_group_5,deaths,covid_deaths,population
2015,01,1,2018,0,3983981
2015,01,1-4,315,0,15934097
2015,01,10-14,254,0,20604377
2015,01,15-19,865,0,21081020
2015,01,20-24,1672,0,22668650
2015,01,25-29,1900,0,22409198
2015,01,30-34,2273,0,21629000
2015,01,35-39,2610,0,20304700
2015,01,40-44,3635,0,20132902
2015,01,45-49,5862,0,20763252
2015,01,5-9,206,0,20476769
2015,01,50-54,10121,0,22252279
2015,01,55-59,14577,0,21732941
2015,01,60-64,18178,0,19011227
2015,01,65-69,21654,0,16029148
2015,01,70-74,24332,0,11456040
2015,01,75-79,28284,0,8110430
2015,01,80-84,35318,0,5793272
2015,01,85+,91267,0,6261880
2015,02,1,1855,0,3983981
2015,02,1-4,327,0,15934097
2015,02,10-14,237,0,20604377
2015,02,15-19,697,0,21081020
2015,02,20-24,1376,0,22668650
2015,02,25-29,1717,0,22409198
2015,02,30-34,2018,0,21629000
2015,02,35-39,2367,0,20304700
2015,02,40-44,3246,0,20132902
2015,02,45-49,4928,0,20763252
2015,02,5-9,207,0,20476769
2015,02,50-54,8927,0,22252279
2015,02,55-59,12821,0,21732941
2015,02,60-64,15999,0,19011227
2015,02,65-69,19069,0,16029148
2015,02,70-74,21478,0,11456040
2015,02,75-79,24436,0,8110430
2015,02,80-84,30097,0,5793272
2015,02,85+,75233,0,6261880
2015,03,1,2021,0,3983981
2015,03,1-4,323,0,15934097
2015,03,10-14,261,0,20604377
2015,03,15-19,784,0,21081020
2015,03,20-24,1649,0,22668650
2015,03,25-29,2023,0,22409198
2015,03,30-34,2298,0,21629000
2015,03,35-39,2667,0,20304700
2015,03,40-44,3622,0,20132902
2015,03,45-49,5554,0,20763252
2015,03,5-9,216,0,20476769
2015,03,50-54,9601,0,22252279
2015,03,55-59,14135,0,21732941
2015,03,60-64,17423,0,19011227
2015,03,65-69,20793,0,16029148
2015,03,70-74,23012,0,11456040
2015,03,75-79,25877,0,8110430
2015,03,80-84,31309,0,5793272
2015,03,85+,79132,0,6261880
2015,04,1,1960,0,3983981
2015,04,1-4,352,0,15934097
2015,04,10-14,236,0,20604377
2015,04,15-19,819,0,21081020
2015,04,20-24,1648,0,22668650
2015,04,25-29,1918,0,22409198
2015,04,30-34,2213,0,21629000
2015,04,35-39,2434,0,20304700
2015,04,40-44,3373,0,20132902
2015,04,45-49,5285,0,20763252
2015,04,5-9,178,0,20476769
2015,04,50-54,8959,0,22252279
2015,04,55-59,13132,0,21732941
2015,04,60-64,16201,0,19011227
2015,04,65-69,19309,0,16029148
2015,04,70-74,21786,0,11456040
2015,04,75-79,24294,0,8110430
2015,04,80-84,28920,0,5793272
2015,04,85+,71399,0,6261880
2015,05,1,1975,0,3983981
2015,05,1-4,369,0,15934097
2015,05,10-14,267,0,20604377
2015,05,15-19,896,0,21081020
2015,05,20-24,1762,0,22668650
2015,05,25-29,2007,0,22409198
2015,05,30-34,2437,0,21629000
2015,05,35-39,2624,0,20304700
2015,05,40-44,3536,0,20132902
2015,05,45-49,5432,0,20763252
2015,05,5-9,212,0,20476769
2015,05,50-54,9239,0,22252279
2015,05,55-59,13500,0,21732941
2015,05,60-64,16376,0,19011227
2015,05,65-69,19233,0,16029148
2015,05,70-74,21626,0,11456040
2015,05,75-79,23868,0,8110430
2015,05,80-84,28358,0,5793272
2015,05,85+,69877,0,6261880
2015,06,1,2013,0,3983981
2015,06,1-4,357,0,15934097
2015,06,10-14,277,0,20604377
2015,06,15-19,860,0,21081020
2015,06,20-24,1773,0,22668650
2015,06,25-29,2004,0,22409198
2015,06,30-34,2247,0,21629000
2015,06,35-39,2550,0,20304700
2015,06,40-44,3423,0,20132902
2015,06,45-49,5378,0,20763252
2015,06,5-9,223,0,20476769
2015,06,50-54,8891,0,22252279
2015,06,55-59,12711,0,21732941
2015,06,60-64,15892,0,19011227
2015,06,65-69,18627,0,16029148
2015,06,70-74,20015,0,11456040
2015,06,75-79,22555,0,8110430
2015,06,80-84,26416,0,5793272
2015,06,85+,64945,0,6261880
2015,07,1,1977,0,3983981
2015,07,1-4,332,0,15934097
2015,07,10-14,301,0,20604377
2015,07,15-19,942,0,21081020
2015,07,20-24,1837,0,22668650
2015,07,25-29,2101,0,22409198
2015,07,30-34,2400,0,21629000
2015,07,35-39,2755,0,20304700
2015,07,40-44,3565,0,20132902
2015,07,45-49,5441,0,20763252
2015,07,5-9,223,0,20476769
2015,07,50-54,9133,0,22252279
2015,07,55-59,13078,0,21732941
2015,07,60-64,16174,0,19011227
2015,07,65-69,18993,0,16029148
2015,07,70-74,20866,0,11456040
2015,07,75-79,23075,0,8110430
2015,07,80-84,27377,0,5793272
2015,07,85+,66368,0,6261880
2015,08,1,1987,0,3983981
2015,08,1-4,356,0,15934097
2015,08,10-14,241,0,20604377
2015,08,15-19,941,0,21081020
2015,08,20-24,1835,0,22668650
2015,08,25-29,2055,0,22409198
2015,08,30-34,2426,0,21629000
2015,08,35-39,2851,0,20304700
2015,08,40-44,3477,0,20132902
2015,08,45-49,5383,0,20763252
2015,08,5-9,189,0,20476769
2015,08,50-54,9158,0,22252279
2015,08,55-59,12919,0,21732941
2015,08,60-64,16047,0,19011227
2015,08,65-69,19010,0,16029148
2015,08,70-74,20482,0,11456040
2015,08,75-79,22868,0,8110430
2015,08,80-84,26809,0,5793272
2015,08,85+,65356,0,6261880
2015,09,1,1958,0,3983981
2015,09,1-4,294,0,15934097
2015,09,10-14,227,0,20604377
2015,09,15-19,814,0,21081020
2015,09,20-24,1662,0,22668650
2015,09,25-29,2058,0,22409198
2015,09,30-34,2321,0,21629000
2015,09,35-39,2648,0,20304700
2015,09,40-44,3420,0,20132902
2015,09,45-49,5130,0,20763252
2015,09,5-9,210,0,20476769
2015,09,50-54,9001,0,22252279
2015,09,55-59,12660,0,21732941
2015,09,60-64,15713,0,19011227
2015,09,65-69,18748,0,16029148
2015,09,70-74,20246,0,11456040
2015,09,75-79,22176,0,8110430
2015,09,80-84,26371,0,5793272
2015,09,85+,64236,0,6261880
2015,10,1,1913,0,3983981
2015,10,1-4,314,0,15934097
2015,10,10-14,217,0,20604377
2015,10,15-19,883,0,21081020
2015,10,20-24,1755,0,22668650
2015,10,25-29,2143,0,22409198
2015,10,30-34,2358,0,21629000
2015,10,35-39,2681,0,20304700
2015,10,40-44,3547,0,20132902
2015,10,45-49,5292,0,20763252
2015,10,5-9,159,0,20476769
2015,10,50-54,9007,0,22252279
2015,10,55-59,13340,0,21732941
2015,10,60-64,16613,0,19011227
2015,10,65-69,19808,0,16029148
2015,10,70-74,21842,0,11456040
2015,10,75-79,23912,0,8110430
2015,10,80-84,28276,0,5793272
2015,10,85+,69465,0,6261880
2015,11,1,1816,0,3983981
2015,11,1-4,312,0,15934097
2015,11,10-14,251,0,20604377
2015,11,15-19,826,0,21081020
2015,11,20-24,1629,0,22668650
2015,11,25-29,1945,0,22409198
2015,11,30-34,2315,0,21629000
2015,11,35-39,2536,0,20304700
2015,11,40-44,3312,0,20132902
2015,11,45-49,5219,0,20763252
2015,11,5-9,182,0,20476769
2015,11,50-54,8782,0,22252279
2015,11,55-59,12908,0,21732941
2015,11,60-64,16324,0,19011227
2015,11,65-69,19362,0,16029148
2015,11,70-74,21435,0,11456040
2015,11,75-79,23663,0,8110430
2015,11,80-84,28152,0,5793272
2015,11,85+,68813,0,6261880
2015,12,1,1962,0,3983981
2015,12,1-4,314,0,15934097
2015,12,10-14,240,0,20604377
2015,12,15-19,859,0,21081020
2015,12,20-24,1710,0,22668650
2015,12,25-29,2027,0,22409198
2015,12,30-34,2313,0,21629000
2015,12,35-39,2694,0,20304700
2015,12,40-44,3515,0,20132902
2015,12,45-49,5473,0,20763252
2015,12,5-9,197,0,20476769
2015,12,50-54,9298,0,22252279
2015,12,55-59,13808,0,21732941
2015,12,60-64,17256,0,19011227
2015,12,65-69,20876,0,16029148
2015,12,70-74,22414,0,11456040
2015,12,75-79,25397,0,8110430
2015,12,80-84,29758,0,5793272
2015,12,85+,73610,0,6261880
2016,01,1,1932,0,3954773
2016,01,1-4,321,0,15966986
2016,01,10-14,259,0,20621321
2016,01,15-19,863,0,21129270
2016,01,20-24,1608,0,22344607
2016,01,25-29,1980,0,22913093
2016,01,30-34,2378,0,21818912
2016,01,35-39,2796,0,20779399
2016,01,40-44,3651,0,19679819
2016,01,45-49,5558,0,20909192
2016,01,5-9,214,0,20434232
2016,01,50-54,9404,0,21797837
2016,01,55-59,14369,0,21940362
2016,01,60-64,17896,0,19449437
2016,01,65-69,21476,0,16799653
2016,01,70-74,23417,0,11789654
2016,01,75-79,26392,0,8363123
2016,01,80-84,31671,0,5868100
2016,01,85+,79635,0,6381541
2016,02,1,1894,0,3954773
2016,02,1-4,312,0,15966986
2016,02,10-14,266,0,20621321
2016,02,15-19,785,0,21129270
2016,02,20-24,1650,0,22344607
2016,02,25-29,2053,0,22913093
2016,02,30-34,2380,0,21818912
2016,02,35-39,2631,0,20779399
2016,02,40-44,3463,0,19679819
2016,02,45-49,5368,0,20909192
2016,02,5-9,205,0,20434232
2016,02,50-54,8946,0,21797837
2016,02,55-59,13551,0,21940362
2016,02,60-64,16792,0,19449437
2016,02,65-69,20513,0,16799653
2016,02,70-74,22006,0,11789654
2016,02,75-79,25063,0,8363123
2016,02,80-84,29330,0,5868100
2016,02,85+,72806,0,6381541
2016,03,1,2011,0,3954773
2016,03,1-4,354,0,15966986
2016,03,10-14,247,0,20621321
2016,03,15-19,913,0,21129270
2016,03,20-24,1848,0,22344607
2016,03,25-29,2253,0,22913093
2016,03,30-34,2448,0,21818912
2016,03,35-39,2941,0,20779399
2016,03,40-44,3651,0,19679819
2016,03,45-49,5912,0,20909192
2016,03,5-9,211,0,20434232
2016,03,50-54,9715,0,21797837
2016,03,55-59,14546,0,21940362
2016,03,60-64,18283,0,19449437
2016,03,65-69,22288,0,16799653
2016,03,70-74,23265,0,11789654
2016,03,75-79,25931,0,8363123
2016,03,80-84,30681,0,5868100
2016,03,85+,76775,0,6381541
2016,04,1,1889,0,3954773
2016,04,1-4,364,0,15966986
2016,04,10-14,216,0,20621321
2016,04,15-19,834,0,21129270
2016,04,20-24,1748,0,22344607
2016,04,25-29,2107,0,22913093
2016,04,30-34,2442,0,21818912
2016,04,35-39,2821,0,20779399
2016,04,40-44,3528,0,19679819
2016,04,45-49,5313,0,20909192
2016,04,5-9,207,0,20434232
2016,04,50-54,8980,0,21797837
2016,04,55-59,13323,0,21940362
2016,04,60-64,17081,0,19449437
2016,04,65-69,20486,0,16799653
2016,04,70-74,22077,0,11789654
2016,04,75-79,24460,0,8363123
2016,04,80-84,28396,0,5868100
2016,04,85+,70906,0,6381541
2016,05,1,1951,0,3954773
2016,05,1-4,355,0,15966986
2016,05,10-14,246,0,20621321
2016,05,15-19,964,0,21129270
2016,05,20-24,1831,0,22344607
2016,05,25-29,2328,0,22913093
2016,05,30-34,2493,0,21818912
2016,05,35-39,2879,0,20779399
2016,05,40-44,3475,0,19679819
2016,05,45-49,5335,0,20909192
2016,05,5-9,202,0,20434232
2016,05,50-54,8846,0,21797837
2016,05,55-59,13658,0,21940362
2016,05,60-64,16580,0,19449437
2016,05,65-69,20376,0,16799653
2016,05,70-74,21577,0,11789654
2016,05,75-79,23937,0,8363123
2016,05,80-84,28047,0,5868100
2016,05,85+,69431,0,6381541
2016,06,1,1945,0,3954773
2016,06,1-4,353,0,15966986
2016,06,10-14,277,0,20621321
2016,06,15-19,962,0,21129270
2016,06,20-24,1788,0,22344607
2016,06,25-29,2235,0,22913093
2016,06,30-34,2519,0,21818912
2016,06,35-39,2878,0,20779399
2016,06,40-44,3418,0,19679819
2016,06,45-49,5222,0,20909192
2016,06,5-9,211,0,20434232
2016,06,50-54,8663,0,21797837
2016,06,55-59,12598,0,21940362
2016,06,60-64,16119,0,19449437
2016,06,65-69,19566,0,16799653
2016,06,70-74,20569,0,11789654
2016,06,75-79,22611,0,8363123
2016,06,80-84,26326,0,5868100
2016,06,85+,64784,0,6381541
2016,07,1,1935,0,3954773
2016,07,1-4,382,0,15966986
2016,07,10-14,258,0,20621321
2016,07,15-19,947,0,21129270
2016,07,20-24,1923,0,22344607
2016,07,25-29,2395,0,22913093
2016,07,30-34,2755,0,21818912
2016,07,35-39,3102,0,20779399
2016,07,40-44,3653,0,19679819
2016,07,45-49,5570,0,20909192
2016,07,5-9,231,0,20434232
2016,07,50-54,8953,0,21797837
2016,07,55-59,13091,0,21940362
2016,07,60-64,16892,0,19449437
2016,07,65-69,19957,0,16799653
2016,07,70-74,21303,0,11789654
2016,07,75-79,23356,0,8363123
2016,07,80-84,26968,0,5868100
2016,07,85+,66010,0,6381541
2016,08,1,1972,0,3954773
2016,08,1-4,332,0,15966986
2016,08,10-14,280,0,20621321
2016,08,15-19,935,0,21129270
2016,08,20-24,1973,0,22344607
2016,08,25-29,2346,0,22913093
2016,08,30-34,2731,0,21818912
2016,08,35-39,3003,0,20779399
2016,08,40-44,3619,0,19679819
2016,08,45-49,5431,0,20909192
2016,08,5-9,225,0,20434232
2016,08,50-54,8753,0,21797837
2016,08,55-59,13209,0,21940362
2016,08,60-64,16585,0,19449437
2016,08,65-69,20078,0,16799653
2016,08,70-74,21546,0,11789654
2016,08,75-79,23740,0,8363123
2016,08,80-84,26974,0,5868100
2016,08,85+,66170,0,6381541
2016,09,1,1931,0,3954773
2016,09,1-4,302,0,15966986
2016,09,10-14,229,0,20621321
2016,09,15-19,810,0,21129270
2016,09,20-24,1862,0,22344607
2016,09,25-29,2258,0,22913093
2016,09,30-34,2480,0,21818912
2016,09,35-39,2908,0,20779399
2016,09,40-44,3431,0,19679819
2016,09,45-49,5309,0,20909192
2016,09,5-9,186,0,20434232
2016,09,50-54,8591,0,21797837
2016,09,55-59,12885,0,21940362
2016,09,60-64,15990,0,19449437
2016,09,65-69,19232,0,16799653
2016,09,70-74,20804,0,11789654
2016,09,75-79,23168,0,8363123
2016,09,80-84,26141,0,5868100
2016,09,85+,65777,0,6381541
2016,10,1,1971,0,3954773
2016,10,1-4,319,0,15966986
2016,10,10-14,236,0,20621321
2016,10,15-19,943,0,21129270
2016,10,20-24,1826,0,22344607
2016,10,25-29,2487,0,22913093
2016,10,30-34,2641,0,21818912
2016,10,35-39,3112,0,20779399
2016,10,40-44,3557,0,19679819
2016,10,45-49,5504,0,20909192
2016,10,5-9,196,0,20434232
2016,10,50-54,9049,0,21797837
2016,10,55-59,13305,0,21940362
2016,10,60-64,16962,0,19449437
2016,10,65-69,20418,0,16799653
2016,10,70-74,22124,0,11789654
2016,10,75-79,24881,0,8363123
2016,10,80-84,28230,0,5868100
2016,10,85+,71147,0,6381541
2016,11,1,1836,0,3954773
2016,11,1-4,316,0,15966986
2016,11,10-14,250,0,20621321
2016,11,15-19,959,0,21129270
2016,11,20-24,1820,0,22344607
2016,11,25-29,2258,0,22913093
2016,11,30-34,2543,0,21818912
2016,11,35-39,2966,0,20779399
2016,11,40-44,3461,0,19679819
2016,11,45-49,5355,0,20909192
2016,11,5-9,197,0,20434232
2016,11,50-54,8751,0,21797837
2016,11,55-59,13194,0,21940362
2016,11,60-64,16808,0,19449437
2016,11,65-69,20069,0,16799653
2016,11,70-74,22264,0,11789654
2016,11,75-79,24424,0,8363123
2016,11,80-84,28215,0,5868100
2016,11,85+,71610,0,6381541
