Year,Age,Population
2010,0,3951430
2010,1,3957730
2010,2,4090621
2010,3,4111688
2010,4,4077346
2010,5,4064521
2010,6,4072904
2010,7,4042990
2010,8,4025501
2010,9,4125312
2010,10,4186957
2010,11,4115415
2010,12,4113230
2010,13,4119537
2010,14,4145467
2010,15,4230851
2010,16,4313036
2010,17,4376130
2010,18,4490335
2010,19,4570747
2010,20,4567951
2010,21,4387413
2010,22,4286330
2010,23,4216524
2010,24,4243080
2010,25,4288870
2010,26,4160319
2010,27,4236631
2010,28,4247132
2010,29,4209925
2010,30,4303827
2010,31,4042153
2010,32,3967147
2010,33,3933076
2010,34,3821734
2010,35,3947854
2010,36,3829703
2010,37,3896217
2010,38,4079655
2010,39,4323834
2010,40,4386825
2010,41,4162937
2010,42,4082210
2010,43,4093285
2010,44,4177952
2010,45,4438000
2010,46,4529194
2010,47,4534994
2010,48,4534165
2010,49,4598583
2010,50,4645689
2010,51,4498526
2010,52,4480160
2010,53,4439014
2010,54,4288067
2010,55,4258545
2010,56,4092793
2010,57,3946199
2010,58,3802133
2010,59,3693990
2010,60,3616436
2010,61,3519888
2010,62,3494867
2010,63,3651970
2010,64,2705897
2010,65,2678332
2010,66,2621200
2010,67,2693584
2010,68,2359713
2010,69,2167750
2010,70,2062466
2010,71,1953486
2010,72,1883725
2010,73,1750237
2010,74,1685936
2010,75,1631850
2010,76,1481687
2010,77,1449156
2010,78,1402199
2010,79,1354926
2010,80,1319723
2010,81,1212519
2010,82,1158188
2010,83,1081226
2010,84,986814
2010,85,914842
2010,86,821428
2010,87,721149
2010,88,636650
2010,89,546248
2010,90,448417
2010,91,344555
2010,92,288965
2010,93,219192
2010,94,170904
2010,95,131195
2010,96,97259
2010,97,68966
2010,98,47086
2010,99,32214
2010,100,54437
2011,0,3963092
2011,1,3966225
2011,2,3970654
2011,3,4101644
2011,4,4121488
2011,5,4087054
2011,6,4074531
2011,7,4082821
2011,8,4052773
2011,9,4035319
2011,10,4135275
2011,11,4197127
2011,12,4125724
2011,13,4123811
2011,14,4130861
2011,15,4158280
2011,16,4246693
2011,17,4334152
2011,18,4401220
2011,19,4518136
2011,20,4598087
2011,21,4594046
2011,22,4412989
2011,23,4312071
2011,24,4242005
2011,25,4267715
2011,26,4311460
2011,27,4181235
2011,28,4255887
2011,29,4264231
2011,30,4224904
2011,31,4316834
2011,32,4053130
2011,33,3977087
2011,34,3941571
2011,35,3829296
2011,36,3953574
2011,37,3834160
2011,38,3899275
2011,39,4081727
2011,40,4323492
2011,41,4384667
2011,42,4160003
2011,43,4078457
2011,44,4088648
2011,45,4171392
2011,46,4429559
2011,47,4518765
2011,48,4522525
2011,49,4519850
2011,50,4582117
2011,51,4627614
2011,52,4478988
2011,53,4458856
2011,54,4416050
2011,55,4263777
2011,56,4233221
2011,57,4066454
2011,58,3918867
2011,59,3773861
2011,60,3664938
2011,61,3586380
2011,62,3487750
2011,63,3459686
2011,64,3612778
2011,65,2674388
2011,66,2644949
2011,67,2585082
2011,68,2652967
2011,69,2320909
2011,70,2128978
2011,71,2022302
2011,72,1911768
2011,73,1839617
2011,74,1705176
2011,75,1638392
2011,76,1581264
2011,77,1430846
2011,78,1394624
2011,79,1343872
2011,80,1292555
2011,81,1252415
2011,82,1143567
2011,83,1084658
2011,84,1004493
2011,85,908494
2011,86,834114
2011,87,740788
2011,88,642674
2011,89,559656
2011,90,473596
2011,91,382497
2011,92,289188
2011,93,238035
2011,94,176717
2011,95,135101
2011,96,101295
2011,97,73267
2011,98,50654
2011,99,33604
2011,100,57513
2012,0,3926570
2012,1,3977549
2012,2,3978925
2012,3,3981531
2012,4,4111490
2012,5,4131049
2012,6,4096631
2012,7,4084175
2012,8,4092559
2012,9,4062726
2012,10,4045445
2012,11,4145724
2012,12,4207661
2012,13,4136128
2012,14,4134787
2012,15,4143157
2012,16,4173509
2012,17,4267048
2012,18,4358208
2012,19,4427292
2012,20,4546283
2012,21,4629444
2012,22,4625206
2012,23,4443353
2012,24,4341674
2012,25,4271101
2012,26,4295141
2012,27,4336875
2012,28,4204349
2012,29,4276982
2012,30,4282588
2012,31,4240764
2012,32,4330633
2012,33,4064859
2012,34,3987707
2012,35,3950829
2012,36,3836855
2012,37,3959826
2012,38,3839208
2012,39,3902771
2012,40,4083481
2012,41,4323211
2012,42,4382863
2012,43,4157098
2012,44,4074786
2012,45,4083445
2012,46,4164199
2012,47,4420397
2012,48,4507426
2012,49,4509218
2012,50,4504724
2012,51,4564517
2012,52,4607874
2012,53,4457963
2012,54,4436389
2012,55,4391667
2012,56,4238325
