"Year","Month","Deaths"
2007,"January",222105
2007,"February",204717
2007,"March",218120
2007,"April",202921
2007,"May",199703
2007,"June",188207
2007,"July",192327
2007,"August",191759
2007,"September",188466
2007,"October",198633
2007,"November",200136
2007,"December",216618
2008,"January",223909
2008,"February",223441
2008,"March",232715
2008,"April",206801
2008,"May",202428
2008,"June",190594
2008,"July",191990
2008,"August",191929
2008,"September",187781
2008,"October",200535
2008,"November",201557
2008,"December",218304
2009,"January",222962
2009,"February",200429
2009,"March",216167
2009,"April",202955
2009,"May",200461
2009,"June",190946
2009,"July",194584
2009,"August",192483
2009,"September",189714
2009,"October",207291
2009,"November",201347
2009,"December",217824
2010,"January",222783
2010,"February",200226
2010,"March",218934
2010,"April",202287
2010,"May",203927
2010,"June",192477
2010,"July",198971
2010,"August",196906
2010,"September",193129
2010,"October",206851
2010,"November",206128
2010,"December",225816
2011,"January",233690
2011,"February",211783
2011,"March",225194
2011,"April",208288
2011,"May",208356
2011,"June",197330
2011,"July",202091
2011,"August",200504
2011,"September",195381
2011,"October",207974
2011,"November",206139
2011,"December",218728
2012,"January",225368
2012,"February",208962
2012,"March",221438
2012,"April",208145
2012,"May",207931
2012,"June",198869
2012,"July",203929
2012,"August",204648
2012,"September",200852
2012,"October",213558
2012,"November",214201
2012,"December",235378
2013,"January",261089
2013,"February",217614
2013,"March",232871
2013,"April",213789
2013,"May",210076
2013,"June",200010
2013,"July",204505
2013,"August",204585
2013,"September",198780
2013,"October",211702
2013,"November",211850
2013,"December",230122
2014,"January",243298
2014,"February",211980
2014,"March",228477
2014,"April",215600
2014,"May",216862
2014,"June",204687
2014,"July",209373
2014,"August",208013
2014,"September",205274
2014,"October",218147
2014,"November",221317
2014,"December",243390
2015,"January",265355
2015,"February",227047
2015,"March",242712
2015,"April",224423
2015,"May",223600
2015,"June",211175
2015,"July",216951
2015,"August",214404
2015,"September",209905
2015,"October",223535
2015,"November",219788
2015,"December",233735
2016,"January",245823
2016,"February",230021
2016,"March",244283
2016,"April",227191
2016,"May",224528
2016,"June",213051
2016,"July",219691
2016,"August",219911
2016,"September",214310
2016,"October",228919
2016,"November",227313
2016,"December",249207
2017,"January",262832
2017,"February",233819
2017,"March",251732
2017,"April",231830
2017,"May",229670
2017,"June",218929
2017,"July",221869
2017,"August",221887
2017,"September",220262
2017,"October",231125
2017,"November",230891
2017,"December",258657
2018,"January",286744
2018,"February",236998
2018,"March",248805
2018,"April",233164
2018,"May",228772
2018,"June",220103
2018,"July",225111
2018,"August",224254
2018,"September",218696
2018,"October",233903
2018,"November",233375
2018,"December",249280
2019,"January",257649
2019,"February",232821
2019,"March",254929
2019,"April",235254
2019,"May",236893
2019,"June",225422
2019,"July",229211
2019,"August",227280
2019,"September",222715
2019,"October",237661
2019,"November",239028
2019,"December",255975
2020,"January",264062
2020,"February",244431
2020,"March",269239
2020,"April",321879
2020,"May",280152
2020,"June",249993
2020,"July",278409
2020,"August",276731
2020,"September",256732
2020,"October",273443
2020,"November",302090
2020,"December",366568
2021,"January",372916
2021,"February",282015
2021,"March",270527
2021,"April",256523
2021,"May",257798
2021,"June",244671
2021,"July",257328
2021,"August",303261
2021,"September",311830
2021,"October",299591
2021,"November",288483
2021,"December",319288
2022,"January",369459
2022,"February",290309
2022,"March",268246
2022,"April",246083
2022,"May",254396
2022,"June",248080
2022,"July",260129
2022,"August",258926
2022,"September",250891
2022,"October",264956
2022,"November",268002
2022,"December",300380
2023,"January",288757
2023,"February",248665
2023,"March",268769
2023,"April",251834
2023,"May",252167
2023,"June",240809
2023,"July",246581
2023,"August",249931
2023,"September",244478
2023,"October",258159
2023,"November",257440
2023,"December",283374
2024,"January",294589
2024,"February",255129
2024,"March",263199
2024,"April",248972
2024,"May",249911
2024,"June",242177
2024,"July",248384
2024,"August",250539
2024,"September",241904
2024,"October",254644
2024,"November",247967
2024,"December",275251
2025,"January",299825
2025,"February",268627
2025,"March",276077
2025,"April",248913
2025,"May",250046
2025,"June",238924
2025,"July",241492
2025,"August",220809
2025,"September",28227
