week,excess
2019-01-01,-5.228
2019-01-08,-4.908
2019-01-15,-2.349
2019-01-22,0.849
2019-01-29,-3.948
2019-02-05,-7.786
2019-02-12,-6.187
2019-02-19,-5.228
2019-02-26,-4.588
2019-03-05,-3.309
2019-03-12,-1.39
2019-03-19,-2.03
2019-03-26,-0.75
2019-04-02,-1.39
2019-04-09,-3.948
2019-04-16,-2.669
2019-04-23,-2.669
2019-04-30,-2.669
2019-05-07,0.529
2019-05-14,2.448
2019-05-21,4.367
2019-05-28,6.605
2019-06-04,5.966
2019-06-11,4.367
2019-06-18,2.448
2019-06-25,-3.309
2019-07-02,-2.989
2019-07-09,-8.426
2019-07-16,-8.106
2019-07-23,-8.745
2019-07-30,-6.5
2019-08-06,-4.5
2019-08-13,-3.5
2019-08-20,-5.228
2019-08-27,-8.106
2019-09-03,-8.426
2019-09-10,-11.304
2019-09-17,-15.141
2019-09-24,-18.979
2019-10-01,-17.38
2019-10-08,-15.781
2019-10-15,-19.299
2019-10-22,-20.578
2019-10-29,-16.74
2019-11-05,-9.065
2019-11-12,-8.426
2019-11-19,-8.426
2019-11-26,-5.867
2019-12-03,0.849
2019-12-10,4.367
2019-12-17,7.245
2019-12-24,14.92
2019-12-31,23.235
2020-01-07,35.068
2020-01-14,38
2020-01-21,42
2020-01-28,44
2020-02-04,40
2020-02-11,28.672
2020-02-18,18.758
2020-02-25,12.042
2020-03-03,8.844
2020-03-10,5.646
2020-03-17,-0.431
2020-03-24,-4.588
2020-03-31,-10.344
2020-04-07,-17.06
2020-04-14,-20
2020-04-21,-22
2020-04-28,-25
2020-05-05,-17.7
2020-05-12,-12.263
2020-05-19,-8.106
2020-05-26,-2.03
2020-06-02,2.128
2020-06-09,1.488
2020-06-16,0.529
2020-06-23,1.488
2020-06-30,0.849
2020-07-07,-2.989
2020-07-14,-5.547
2020-07-21,-9.065
2020-07-28,-12.903
2020-08-04,-14.182
2020-08-11,-18.339
2020-08-18,-21.538
2020-08-25,-21.218
2020-09-01,-19.299
2020-09-08,-21.538
2020-09-15,-25.055
2020-09-22,-23.137
2020-09-29,-21.218
2020-10-06,-22.817
2020-10-13,-25.055
2020-10-20,-24.416
2020-10-27,-22.177
2020-11-03,-18.979
2020-11-10,-19.619
2020-11-17,-23.137
2020-11-24,-23.137
2020-12-01,-22.177
2020-12-08,-26.654
2020-12-15,-29.213
2020-12-22,-24.416
2020-12-29,-18.02
2021-01-05,-6.507
2021-01-12,0.849
2021-01-19,7.245
2021-01-26,10
2021-02-02,11
2021-02-09,10
2021-02-16,4.047
2021-02-23,-2.03
2021-03-02,-6
2021-03-09,-15
2021-03-16,-2
2021-03-23,0.529
2021-03-30,4.367
2021-04-06,7.565
2021-04-13,13.961
2021-04-20,18.438
2021-04-27,22.915
2021-05-04,26.433
2021-05-11,26.753
2021-05-18,24.834
2021-05-25,24.514
2021-06-01,22.595
2021-06-08,22.595
2021-06-15,18.758
2021-06-22,15
2021-06-29,13.001
2021-07-06,14
2021-07-13,14.28
2021-07-20,16.199
2021-07-27,21.9
2021-08-03,21.956
2021-08-10,23.875
2021-08-17,25.793
2021-08-24,26.113
2021-08-31,25.154
2021-09-07,25.793
2021-09-14,28.032
2021-09-21,30.271
2021-09-28,29.631
2021-10-05,31.55
2021-10-12,33.788
2021-10-19,31.23
2021-10-26,29.311
2021-11-02,27.712
2021-11-09,27.392
2021-11-16,28.032
2021-11-23,29.951
2021-11-30,32.829
2021-12-07,36.667
2021-12-14,38.585
2021-12-21,39.545
2021-12-28,41.464
2022-01-04,43.063
2022-01-11,45.621
2022-01-18,43.383
2022-01-25,40.185
2022-02-01,35.068
2022-02-08,32.509
2022-02-15,29.631
2022-02-22,25.474
2022-03-01,22
2022-03-08,24.514
2022-03-15,29.631
2022-03-22,32.509
2022-03-29,31.55
