week,suggested_value,corrected_value,confidence,needs_review,notes
2019-01-01,-5.228,NA,1,FALSE,OK
2019-01-08,-4.908,NA,1,FALSE,OK
2019-01-15,-2.349,NA,1,FALSE,OK
2019-01-22,0.849,NA,1,FALSE,OK
2019-01-29,-3.948,NA,1,FALSE,OK
2019-02-05,-7.786,NA,1,FALSE,OK
2019-02-12,-6.187,NA,1,FALSE,OK
2019-02-19,-5.228,NA,1,FALSE,OK
2019-02-26,-4.588,NA,1,FALSE,OK
2019-03-05,-3.309,NA,1,FALSE,OK
2019-03-12,-1.39,NA,0.97,FALSE,OK
2019-03-19,-2.03,NA,1,FALSE,OK
2019-03-26,-0.75,NA,1,FALSE,OK
2019-04-02,-1.39,NA,1,FALSE,OK
2019-04-09,-3.948,NA,1,FALSE,OK
2019-04-16,-2.669,NA,1,FALSE,OK
2019-04-23,-2.669,NA,0.91,FALSE,OK
2019-04-30,-2.669,NA,0.91,FALSE,OK
2019-05-07,0.529,NA,1,FALSE,OK
2019-05-14,2.448,NA,0.86,FALSE,OK
2019-05-21,4.367,NA,1,FALSE,OK
2019-05-28,6.605,NA,1,FALSE,OK
2019-06-04,5.966,NA,1,FALSE,OK
2019-06-11,4.367,NA,1,FALSE,OK
2019-06-18,2.448,NA,1,FALSE,OK
2019-06-25,-3.309,NA,1,FALSE,OK
2019-07-02,-2.989,NA,1,FALSE,OK
2019-07-09,-8.426,NA,1,FALSE,OK
2019-07-16,-8.106,NA,1,FALSE,OK
2019-07-23,-8.745,NA,1,FALSE,OK
2019-07-30,-11.624,-6.5,1,FALSE,OK
2019-08-06,-8.106,-4.5,1,FALSE,OK
2019-08-13,-8.106,-3.5,0.69,FALSE,OK
2019-08-20,-5.228,NA,1,FALSE,OK
2019-08-27,-8.106,NA,1,FALSE,OK
2019-09-03,-8.426,NA,1,FALSE,OK
2019-09-10,-11.304,NA,1,FALSE,OK
2019-09-17,-15.141,NA,1,FALSE,OK
2019-09-24,-18.979,NA,1,FALSE,OK
2019-10-01,-17.38,NA,1,FALSE,OK
2019-10-08,-15.781,NA,1,FALSE,OK
2019-10-15,-19.299,NA,1,FALSE,OK
2019-10-22,-20.578,NA,1,FALSE,OK
2019-10-29,-16.74,NA,1,FALSE,OK
2019-11-05,-9.065,NA,1,FALSE,OK
2019-11-12,-8.426,NA,0.89,FALSE,OK
2019-11-19,-8.426,NA,1,FALSE,OK
2019-11-26,-5.867,NA,1,FALSE,OK
2019-12-03,0.849,NA,1,FALSE,OK
2019-12-10,4.367,NA,1,FALSE,OK
2019-12-17,7.245,NA,1,FALSE,OK
2019-12-24,14.92,NA,1,FALSE,OK
2019-12-31,23.235,NA,1,FALSE,OK
2020-01-07,35.068,NA,1,FALSE,OK
2020-01-14,8.305,38,1,TRUE,Detected as outlier
2020-01-21,8.752,42,1,TRUE,Detected as outlier
2020-01-28,8.963,44,1,TRUE,Detected as outlier
2020-02-04,8.938,40,1,TRUE,Detected as outlier
2020-02-11,28.672,NA,1,FALSE,OK
2020-02-18,18.758,NA,1,FALSE,OK
2020-02-25,12.042,NA,1,FALSE,OK
2020-03-03,8.844,NA,1,FALSE,OK
2020-03-10,5.646,NA,1,FALSE,OK
2020-03-17,-0.431,NA,1,FALSE,OK
2020-03-24,-4.588,NA,1,FALSE,OK
2020-03-31,-10.344,NA,1,FALSE,OK
2020-04-07,-17.06,NA,1,FALSE,OK
2020-04-14,0.44,-20,1,TRUE,Detected as outlier
2020-04-21,-0.463,-22,1,TRUE,Detected as outlier
2020-04-28,-1.308,-25,1,TRUE,Detected as outlier
2020-05-05,-17.7,NA,1,FALSE,OK
2020-05-12,-12.263,NA,1,FALSE,OK
2020-05-19,-8.106,NA,1,FALSE,OK
2020-05-26,-2.03,NA,1,FALSE,OK
2020-06-02,2.128,NA,1,FALSE,OK
2020-06-09,1.488,NA,1,FALSE,OK
2020-06-16,0.529,NA,0.97,FALSE,OK
2020-06-23,1.488,NA,0.97,FALSE,OK
2020-06-30,0.849,NA,1,FALSE,OK
2020-07-07,-2.989,NA,1,FALSE,OK
2020-07-14,-5.547,NA,1,FALSE,OK
2020-07-21,-9.065,NA,0.69,FALSE,OK
2020-07-28,-12.903,NA,1,FALSE,OK
2020-08-04,-14.182,NA,1,FALSE,OK
2020-08-11,-18.339,NA,1,FALSE,OK
2020-08-18,-21.538,NA,0.91,FALSE,OK
2020-08-25,-21.218,NA,1,FALSE,OK
2020-09-01,-19.299,NA,1,FALSE,OK
2020-09-08,-21.538,NA,1,FALSE,OK
2020-09-15,-25.055,NA,0.97,FALSE,OK
2020-09-22,-23.137,NA,1,FALSE,OK
2020-09-29,-21.218,NA,1,FALSE,OK
2020-10-06,-22.817,NA,1,FALSE,OK
2020-10-13,-25.055,NA,0.91,FALSE,OK
2020-10-20,-24.416,NA,0.74,FALSE,OK
2020-10-27,-22.177,NA,1,FALSE,OK
2020-11-03,-18.979,NA,1,FALSE,OK
2020-11-10,-19.619,NA,1,FALSE,OK
2020-11-17,-23.137,NA,1,FALSE,OK
2020-11-24,-23.137,NA,1,FALSE,OK
2020-12-01,-22.177,NA,1,FALSE,OK
2020-12-08,-26.654,NA,1,FALSE,OK
2020-12-15,-29.213,NA,1,FALSE,OK
