Date,Value
2018-01-05,387.019
2018-01-06,387.019
2018-01-07,387.019
2018-01-08,390.907
2018-01-09,393.406
2018-01-10,396.262
2018-01-11,397.583
2018-01-12,402.100
2018-01-13,406.906
2018-01-14,411.990
2018-01-15,417.612
2018-01-16,419.828
2018-01-17,425.691
2018-01-18,431.665
2018-01-19,437.690
2018-01-20,444.259
2018-01-21,446.912
2018-01-22,452.718
2018-01-23,458.494
2018-01-24,464.156
2018-01-25,470.247
2018-01-26,472.752
2018-01-27,475.501
2018-01-28,477.835
2018-01-29,479.631
2018-01-30,481.327
2018-01-31,482.159
2018-02-01,480.379
2018-02-02,478.089
2018-02-03,475.229
2018-02-04,471.842
2018-02-05,470.622
2018-02-06,466.640
2018-02-07,462.497
2018-02-08,458.246
2018-02-09,453.562
2018-02-10,451.694
2018-02-11,449.633
2018-02-12,447.884
2018-02-13,446.554
2018-02-14,445.302
2018-02-15,444.683
2018-02-16,443.966
2018-02-17,443.338
2018-02-18,442.798
2018-02-19,442.269
2018-02-20,442.027
2018-02-21,439.680
2018-02-22,437.075
2018-02-23,434.173
2018-02-24,430.891
2018-02-25,429.635
2018-02-26,427.363
2018-02-27,425.181
2018-02-28,423.156
2018-03-01,421.021
2018-03-02,420.114
2018-03-03,421.149
2018-03-04,422.620
2018-03-05,424.607
2018-03-06,427.007
2018-03-07,427.843
2018-03-08,428.590
2018-03-09,429.555
2018-03-10,430.315
2018-03-11,431.065
2018-03-12,431.815
2018-03-13,432.137
2018-03-14,431.669
2018-03-15,431.026
2018-03-16,430.185
2018-03-17,429.177
2018-03-18,428.821
2018-03-19,429.866
2018-03-20,431.181
2018-03-21,432.828
2018-03-22,434.762
2018-03-23,435.461
2018-03-24,435.101
2018-03-25,434.453
2018-03-25,433.437
2018-03-26,432.176
2018-03-27,431.758
2018-03-28,429.106
2018-03-29,426.219
2018-03-30,423.100
2018-03-31,419.596
2018-04-01,418.237
2018-04-02,416.254
2018-04-03,414.434
2018-04-04,412.855
2018-04-05,411.243
2018-04-06,410.527
2018-04-07,408.997
2018-04-08,407.474
2018-04-09,405.964
2018-04-10,404.340
2018-04-11,403.675
2018-04-12,406.228
2018-04-13,409.362
2018-04-14,413.176
2018-04-15,417.629
2018-04-16,419.258
2018-04-17,422.305
2018-04-18,425.243
2018-04-19,427.965
2018-04-20,430.843
2018-04-21,432.062
2018-04-22,430.833
2018-04-23,429.040
2018-04-24,426.580
2018-04-25,423.593
2018-04-26,422.559
2018-04-27,420.856
2018-04-28,419.261
2018-04-29,417.864
2018-04-30,416.416
2018-05-01,415.782
2018-05-02,418.095
2018-05-03,420.938
2018-05-04,424.395
2018-05-05,428.436
2018-05-06,429.913
2018-05-07,431.569
2018-05-08,432.967
2018-05-09,433.989
2018-05-10,434.944
2018-05-11,435.427
2018-05-12,435.778
2018-05-13,432.434
2018-05-14,428.475
2018-05-15,423.883
2018-05-16,418.584
2018-05-17,416.605
2018-05-18,413.316
2018-05-19,410.214
2018-05-20,407.425
2018-05-21,404.521
2018-05-22,403.264
2018-05-23,403.243
2018-05-24,403.618
2018-05-25,404.461
2018-05-26,405.603
2018-05-27,405.941
2018-05-28,406.402
2018-05-29,406.809
2018-05-30,407.111
2018-05-31,407.408
2018-06-01,407.551
2018-06-02,406.361
2018-06-03,404.958
2018-06-04,403.313
2018-06-05,401.411
2018-06-06,400.704
2018-06-07,399.837
2018-06-08,399.082
2018-06-09,398.490
2018-06-10,397.914
2018-06-11,397.639
2018-06-12,398.664
2018-06-13,399.920
2018-06-14,401.438
2018-06-15,403.212
2018-06-16,403.861
2018-06-17,405.591
2018-06-18,407.350
2018-06-19,409.108
2018-06-20,411.024
2018-06-21,411.800
2018-06-22,411.463
2018-06-23,410.828
2018-06-24,409.828
2018-06-25,408.575
2018-06-26,408.162
2018-06-27,409.401
2018-06-28,410.960
2018-06-29,412.920
2018-06-30,415.220
2018-07-01,416.051
2018-07-02,419.824
2018-07-03,423.855
2018-07-04,428.134
2018-07-05,432.906
2018-07-06,434.775
2018-07-07,435.687
2018-07-08,436.118
2018-07-09,435.928
2018-07-10,435.445
2018-07-11,435.411
2018-07-12,433.148
2018-07-13,430.588
2018-07-14,427.732
2018-07-15,424.473
2018-07-16,423.234
2018-07-17,422.183
2018-07-18,420.579
2018-07-19,419.212
2018-07-20,417.826
2018-07-21,416.393
2018-07-22,415.795
2018-07-23,414.988
2018-07-24,414.263
2018-07-25,413.640
2018-07-26,413.014
2018-07-27,412.732
2018-07-28,410.557
2018-07-29,408.160
2018-07-30,405.511
2018-07-31,402.523
2018-08-01,401.375
2018-08-02,399.693
2018-08-03,398.149
2018-08-04,396.812
2018-08-05,395.447
2018-08-06,394.841
2018-08-07,395.469
2018-08-08,396.379
2018-08-09,397.614
2018-08-10,399.111
2018-08-11,399.632
2018-08-12,402.461
2018-08-13,405.519
2018-08-14,408.799
2018-08-15,412.474
2018-08-16,413.904
2018-08-17,417.402
2018-08-18,420.931
2018-08-19,424.440
2018-08-20,428.245
2018-08-21,429.794
2018-08-22,431.190
2018-08-23,432.284
2018-08-24,432.990
2018-08-25,433.576
2018-08-26,433.917
2018-08-27,432.984
2018-08-28,431.817
2018-08-29,430.400
2018-08-30,428.731
2018-08-31,428.123
2018-09-01,427.012
2018-09-02,425.945
2018-09-03,424.964
2018-09-04,423.930
2018-09-05,423.489
2018-09-06,423.333
2018-09-07,423.294
2018-09-08,423.398
2018-09-09,423.579
2018-09-10,423.614
2018-09-11,426.057
2018-09-12,428.835
2018-09-13,431.983
2018-09-14,435.576
2018-09-15,436.936
2018-09-16,439.907
2018-09-17,442.853
2018-09-18,445.707
2018-09-19,448.774
2018-09-20,450.041
2018-09-21,451.068
2018-09-22,451.316
2018-09-23,451.160
2018-09-24,450.802
2018-09-25,450.245
2018-09-26,450.092
2018-09-27,447.996
2018-09-28,445.651
2018-09-29,443.051
2018-09-30,440.102
2018-10-01,438.974
2018-10-02,436.789
2018-10-03,434.663
2018-10-04,432.655
2018-10-05,430.521
2018-10-06,429.626
2018-10-07,429.360
2018-10-08,429.343
2018-10-09,429.628
2018-10-10,430.082
2018-10-11,430.185
2018-10-12,431.148
2018-10-13,432.207
2018-10-14,433.353
2018-10-15,434.648
2018-10-16,435.148
2018-10-17,435.762
2018-10-18,436.301
2018-10-19,436.732
2018-10-20,437.152
2018-10-21,437.351
2018-10-22,436.982
2018-10-23,436.500
2018-10-24,435.888
2018-10-25,435.161
2018-10-26,434.901
2018-10-27,434.089
2018-10-29,433.249
2018-10-30,432.393
2018-10-31,431.451
2018-11-01,431.074
2018-11-02,429.580
2018-11-03,427.995
2018-11-04,426.318
2018-11-05,424.454
2018-11-06,423.722
2018-11-07,423.129
2018-11-08,422.691
2018-11-09,422.456
2018-11-10,422.293
2018-11-11,422.173
2018-11-12,422.294
2018-11-13,422.465
2018-11-14,422.684
2018-11-15,422.951
2018-11-16,423.045
2018-11-17,421.702
2018-11-18,420.137
2018-11-19,418.309
2018-11-20,416.207
2018-11-21,415.422
2018-11-22,412.481
2018-11-23,409.380
2018-11-24,406.137
2018-11-25,402.543
2018-11-26,401.124
2018-11-27,399.944
2018-11-28,398.671
2018-11-29,397.729
2018-11-30,396.855
2018-12-01,396.025
2018-12-02,395.647
2018-12-03,396.451
2018-12-04,397.495
2018-12-05,398.806
2018-12-06,400.359
2018-12-07,400.917
2018-12-08,401.536
2018-12-09,402.055
2018-12-10,402.427
2018-12-11,402.772
2018-12-12,402.949
2018-12-13,403.401
2018-12-14,403.864
2018-12-15,404.344
2018-12-16,404.867
2018-12-17,405.076
2018-12-18,406.999
2018-12-19,409.128
2018-12-20,411.486
2018-12-21,414.151
2018-12-22,415.173
2018-12-23,416.749
2018-12-24,418.214
2018-12-25,419.507
2018-12-26,420.839
2018-12-27,421.423
2018-12-28,420.793
2018-12-29,419.888
2018-12-30,418.664
2018-12-31,417.181
2019-01-01,416.665
2019-01-02,414.183
2019-01-03,411.521
2019-01-04,408.691
2019-01-05,405.530
2019-01-06,404.294
2019-01-07,402.355
