Year,Week,MMWRWeekCode,Date,Deaths,Excess
2018,1,2018/01,2018-01-06,385,
2018,2,2018/02,2018-01-13,413,
2018,3,2018/03,2018-01-20,442,
2018,4,2018/04,2018-01-27,496,
2018,5,2018/05,2018-02-03,479,
2018,6,2018/06,2018-02-10,432,
2018,7,2018/07,2018-02-17,455,
2018,8,2018/08,2018-02-24,429,
2018,9,2018/09,2018-03-03,409,
2018,10,2018/10,2018-03-10,451,
2018,11,2018/11,2018-03-17,415,
2018,12,2018/12,2018-03-24,450,
2018,13,2018/13,2018-03-31,411,
2018,14,2018/14,2018-04-07,408,
2018,15,2018/15,2018-04-14,394,
2018,16,2018/16,2018-04-21,454,
2018,17,2018/17,2018-04-28,404,
2018,18,2018/18,2018-05-05,414,
2018,19,2018/19,2018-05-12,456,
2018,20,2018/20,2018-05-19,392,
2018,21,2018/21,2018-05-26,403,
2018,22,2018/22,2018-06-02,413,
2018,23,2018/23,2018-06-09,392,
2018,24,2018/24,2018-06-16,401,
2018,25,2018/25,2018-06-23,422,
2018,26,2018/26,2018-06-30,390,
2018,27,2018/27,2018-07-07,447,
2018,28,2018/28,2018-07-14,431,
2018,29,2018/29,2018-07-21,407,
2018,30,2018/30,2018-07-28,423,
2018,31,2018/31,2018-08-04,387,
2018,32,2018/32,2018-08-11,389,
2018,33,2018/33,2018-08-18,411,
2018,34,2018/34,2018-08-25,444,
2018,35,2018/35,2018-09-01,426,
2018,36,2018/36,2018-09-08,420,
2018,37,2018/37,2018-09-15,424,
2018,38,2018/38,2018-09-22,458,
2018,39,2018/39,2018-09-29,448,
2018,40,2018/40,2018-10-06,423,
2018,41,2018/41,2018-10-13,428,
2018,42,2018/42,2018-10-20,440,
2018,43,2018/43,2018-10-27,436,
2018,44,2018/44,2018-11-03,428,
2018,45,2018/45,2018-11-10,414,
2018,46,2018/46,2018-11-17,430,
2018,47,2018/47,2018-11-24,407,
2018,48,2018/48,2018-12-01,385,
2018,49,2018/49,2018-12-08,405,
2018,50,2018/50,2018-12-15,402,
2018,51,2018/51,2018-12-22,406,
2018,52,2018/52,2018-12-29,430,
2019,1,2019/01,2019-01-05,409,-5.228
2019,2,2019/02,2019-01-12,389,-4.908
2019,3,2019/03,2019-01-19,403,-2.349
2019,4,2019/04,2019-01-26,382,0.849
2019,5,2019/05,2019-02-02,415,-3.948
2019,6,2019/06,2019-02-09,439,-7.786
2019,7,2019/07,2019-02-16,418,-6.187
2019,8,2019/08,2019-02-23,414,-5.228
2019,9,2019/09,2019-03-02,464,-4.588
2019,10,2019/10,2019-03-09,429,-3.309
2019,11,2019/11,2019-03-16,413,-1.39
2019,12,2019/12,2019-03-23,433,-2.03
2019,13,2019/13,2019-03-30,412,-0.75
2019,14,2019/14,2019-04-06,390,-1.39
2019,15,2019/15,2019-04-13,424,-3.948
2019,16,2019/16,2019-04-20,428,-2.669
2019,17,2019/17,2019-04-27,399,-2.669
2019,18,2019/18,2019-05-04,429,-2.669
2019,19,2019/19,2019-05-11,411,0.529
2019,20,2019/20,2019-05-18,423,2.448
2019,21,2019/21,2019-05-25,415,4.367
2019,22,2019/22,2019-06-01,439,6.605
2019,23,2019/23,2019-06-08,427,5.966
2019,24,2019/24,2019-06-15,435,4.367
2019,25,2019/25,2019-06-22,384,2.448
2019,26,2019/26,2019-06-29,418,-3.309
2019,27,2019/27,2019-07-06,388,-2.989
2019,28,2019/28,2019-07-13,383,-8.426
