Year,Week,MMWRWeekCode,Date,Deaths,baseline_1819_week,Excess_calc,Excess_TES,diff_calc_vs_TES,diff_pct_of_baseline
2018,1,2018/01,2018-01-06,385,397,-12,,,
2018,2,2018/02,2018-01-13,413,401,12,,,
2018,3,2018/03,2018-01-20,442,422.5,19.5,,,
2018,4,2018/04,2018-01-27,496,439,57,,,
2018,5,2018/05,2018-02-03,479,447,32,,,
2018,6,2018/06,2018-02-10,432,435.5,-3.5,,,
2018,7,2018/07,2018-02-17,455,436.5,18.5,,,
2018,8,2018/08,2018-02-24,429,421.5,7.5,,,
2018,9,2018/09,2018-03-03,409,436.5,-27.5,,,
2018,10,2018/10,2018-03-10,451,440,11,,,
2018,11,2018/11,2018-03-17,415,414,1,,,
2018,12,2018/12,2018-03-24,450,441.5,8.5,,,
2018,13,2018/13,2018-03-31,411,411.5,-0.5,,,
2018,14,2018/14,2018-04-07,408,399,9,,,
2018,15,2018/15,2018-04-14,394,409,-15,,,
2018,16,2018/16,2018-04-21,454,441,13,,,
2018,17,2018/17,2018-04-28,404,401.5,2.5,,,
2018,18,2018/18,2018-05-05,414,421.5,-7.5,,,
2018,19,2018/19,2018-05-12,456,433.5,22.5,,,
2018,20,2018/20,2018-05-19,392,407.5,-15.5,,,
2018,21,2018/21,2018-05-26,403,409,-6,,,
2018,22,2018/22,2018-06-02,413,426,-13,,,
2018,23,2018/23,2018-06-09,392,409.5,-17.5,,,
2018,24,2018/24,2018-06-16,401,418,-17,,,
2018,25,2018/25,2018-06-23,422,403,19,,,
2018,26,2018/26,2018-06-30,390,404,-14,,,
2018,27,2018/27,2018-07-07,447,417.5,29.5,,,
2018,28,2018/28,2018-07-14,431,407,24,,,
2018,29,2018/29,2018-07-21,407,404.5,2.5,,,
2018,30,2018/30,2018-07-28,423,423,0,,,
2018,31,2018/31,2018-08-04,387,383,4,,,
2018,32,2018/32,2018-08-11,389,403,-14,,,
2018,33,2018/33,2018-08-18,411,414.5,-3.5,,,
2018,34,2018/34,2018-08-25,444,423.5,20.5,,,
2018,35,2018/35,2018-09-01,426,407.5,18.5,,,
2018,36,2018/36,2018-09-08,420,410.5,9.5,,,
2018,37,2018/37,2018-09-15,424,413,11,,,
2018,38,2018/38,2018-09-22,458,440,18,,,
2018,39,2018/39,2018-09-29,448,416.5,31.5,,,
2018,40,2018/40,2018-10-06,423,406.5,16.5,,,
2018,41,2018/41,2018-10-13,428,411,17,,,
2018,42,2018/42,2018-10-20,440,432.5,7.5,,,
2018,43,2018/43,2018-10-27,436,410.5,25.5,,,
2018,44,2018/44,2018-11-03,428,394,34,,,
2018,45,2018/45,2018-11-10,414,413,1,,,
2018,46,2018/46,2018-11-17,430,433,-3,,,
2018,47,2018/47,2018-11-24,407,410.5,-3.5,,,
2018,48,2018/48,2018-12-01,385,393,-8,,,
2018,49,2018/49,2018-12-08,405,399.5,5.5,,,
