Year,Age,Population
2000,0,1881822
2000,1,1856084
2000,2,1856028
2000,3,1868411
2000,4,1905329
2000,5,1935394
2000,6,1953990
2000,7,1994375
2000,8,2034171
2000,9,2066565
2000,10,2104606
2000,11,2024968
2000,12,1992676
2000,13,1968495
2000,14,1972309
2000,15,1975945
2000,16,1930536
2000,17,1955285
2000,18,1978529
2000,19,2014637
2000,20,2005616
2000,21,1900333
2000,22,1842418
2000,23,1822223
2000,24,1779224
2000,25,1841961
2000,26,1797109
2000,27,1854768
2000,28,1955402
2000,29,2083133
2000,30,2122669
2000,31,2014471
2000,32,1987857
2000,33,2004450
2000,34,2065746
2000,35,2216600
2000,36,2268388
2000,37,2271871
2000,38,2282651
2000,39,2318241
2000,40,2354123
2000,41,2274313
2000,42,2278710
2000,43,2263146
2000,44,2181264
2000,45,2188420
2000,46,2109380
2000,47,2047037
2000,48,1981820
2000,49,1939477
2000,50,1933735
2000,51,1869897
2000,52,1857375
2000,53,1947877
2000,54,1467178
2000,55,1465581
2000,56,1451658
2000,57,1504630
2000,58,1338007
2000,59,1248733
2000,60,1218334
2000,61,1162793
2000,62,1148255
2000,63,1089580
2000,64,1077244
2000,65,1085306
2000,66,1003753
2000,67,1013867
2000,68,1010761
2000,69,1011745
2000,70,1035444
2000,71,988614
2000,72,994611
2000,73,977727
2000,74,953498
2000,75,953983
2000,76,916568
2000,77,866263
2000,78,843792
2000,79,801131
2000,80,753040
2000,81,661144
2000,82,629452
2000,83,564938
2000,84,522953
2000,85,3026561
2001,0,1962905
2001,1,1882601
2001,2,1857181
2001,3,1857443
2001,4,1871311
2001,5,1909212
2001,6,1937940
2001,7,1958002
2001,8,1998184
2001,9,2040960
2001,10,2087011
2001,11,2117318
2001,12,2040841
2001,13,2006423
2001,14,1979876
2001,15,1987434
2001,16,1992853
2001,17,1947338
2001,18,1977996
2001,19,2003276
2001,20,2034401
2001,21,2025446
2001,22,1916731
2001,23,1860062
2001,24,1840310
2001,25,1800155
2001,26,1858168
2001,27,1814890
2001,28,1867542
2001,29,1962358
2001,30,2096477
2001,31,2128146
2001,32,2026967
2001,33,1998254
2001,34,2014086
2001,35,2075753
2001,36,2225186
2001,37,2274547
2001,38,2277958
2001,39,2288066
2001,40,2322098
2001,41,2358452
2001,42,2276695
2001,43,2281350
2001,44,2262324
2001,45,2180011
2001,46,2188271
2001,47,2109830
2001,48,2046074
2001,49,1981763
2001,50,1937183
2001,51,1933991
2001,52,1867556
2001,53,1855738
2001,54,1946664
2001,55,1464238
2001,56,1463829
2001,57,1447922
2001,58,1500388
2001,59,1333019
2001,60,1241416
2001,61,1213556
2001,62,1156768
2001,63,1141614
2001,64,1080816
2001,65,1068644
2001,66,1075042
2001,67,993065
2001,68,1001409
2001,69,996458
2001,70,994877
2001,71,1018307
2001,72,969044
2001,73,972997
2001,74,953283
2001,75,925789
2001,76,925212
2001,77,885017
2001,78,833703
2001,79,808438
2001,80,762992
2001,81,714199
2001,82,622491
2001,83,588776
2001,84,523116
2001,85,3051430
2002,0,1932939
2002,1,1960195
2002,2,1883190
2002,3,1859439
2002,4,1861887
2002,5,1876401
2002,6,1911028
2002,7,1943048
