Year,Age,Population
2000,0,3860835
2000,1,3804674
2000,2,3805880
2000,3,3826053
2000,4,3906193
2000,5,3970876
2000,6,4007642
2000,7,4094050
2000,8,4167126
2000,9,4236161
2000,10,4313634
2000,11,4148895
2000,12,4081037
2000,13,4031610
2000,14,4045936
2000,15,4060716
2000,16,3979030
2000,17,4044873
2000,18,4075610
2000,19,4115259
2000,20,4101724
2000,21,3894824
2000,22,3773400
2000,23,3725122
2000,24,3630598
2000,25,3749523
2000,26,3647336
2000,27,3750068
2000,28,3950350
2000,29,4198169
2000,30,4298571
2000,31,4066104
2000,32,3999775
2000,33,4019739
2000,34,4145883
2000,35,4446144
2000,36,4528963
2000,37,4524215
2000,38,4547537
2000,39,4604460
2000,40,4696543
2000,41,4513036
2000,42,4522207
2000,43,4476411
2000,44,4309589
2000,45,4335952
2000,46,4154952
2000,47,4024531
2000,48,3897827
2000,49,3804426
2000,50,3799379
2000,51,3661587
2000,52,3636233
2000,53,3814013
2000,54,2859851
2000,55,2853141
2000,56,2815138
2000,57,2911994
2000,58,2578559
2000,59,2398807
2000,60,2337277
2000,61,2228311
2000,62,2188453
2000,63,2067593
2000,64,2033848
2000,65,2037566
2000,66,1875287
2000,67,1881485
2000,68,1866335
2000,69,1855804
2000,70,1883933
2000,71,1787557
2000,72,1781577
2000,73,1734993
2000,74,1670069
2000,75,1650337
2000,76,1568560
2000,77,1473115
2000,78,1417992
2000,79,1330462
2000,80,1230087
2000,81,1066702
2000,82,1003046
2000,83,884635
2000,84,803641
2000,85,732929
2000,86,643814
2000,87,559211
2000,88,473222
2000,89,401063
2000,90,333384
2000,91,266530
2000,92,220882
2000,93,169971
2000,94,130643
2000,95,99401
2000,96,73042
2000,97,53174
2000,98,36630
2000,99,26045
2000,100,50580
2001,0,4038540
2001,1,3887031
2001,2,3829607
2001,3,3828273
2001,4,3846943
2001,5,3926046
2001,6,3989882
2001,7,4025759
2001,8,4111540
2001,9,4184345
2001,10,4253004
2001,11,4330304
2001,12,4165698
2001,13,4098504
2001,14,4050724
2001,15,4068615
2001,16,4088638
2001,17,4012941
2001,18,4084011
2001,19,4115773
2001,20,4154693
2001,21,4138857
2001,22,3931549
2001,23,3812456
2001,24,3763963
2001,25,3669265
2001,26,3786574
2001,27,3681810
2001,28,3781706
2001,29,3979387
2001,30,4223342
2001,31,4320487
2001,32,4086458
2001,33,4018389
2001,34,4036433
2001,35,4160433
2001,36,4458582
2001,37,4538895
2001,38,4532331
2001,39,4554488
2001,40,4609495
2001,41,4699408
2001,42,4514541
2001,43,4521885
2001,44,4474735
2001,45,4306630
2001,46,4331377
2001,47,4149446
2001,48,4017204
2001,49,3889647
2001,50,3795269
2001,51,3788124
2001,52,3647975
2001,53,3620300
2001,54,3797470
2001,55,2845800
2001,56,2836826
2001,57,2797477
2001,58,2891549
2001,59,2558467
2001,60,2378783
2001,61,2314877
2001,62,2204257
2001,63,2162446
2001,64,2040840
2001,65,2004800
2001,66,2005571
2001,67,1843617
2001,68,1846640
2001,69,1827844
2001,70,1815722
2001,71,1841091
2001,72,1742535
2001,73,1732192
2001,74,1682368
2001,75,1614472
2001,76,1590003
2001,77,1505330
2001,78,1407888
2001,79,1348785
2001,80,1259262
2001,81,1157180
2001,82,997043
2001,83,930520
2001,84,813198
2001,85,732062
2001,86,660441
2001,87,573149
2001,88,491250
2001,89,409462
2001,90,341454
2001,91,278653
2001,92,218391
2001,93,177189
2001,94,133094
2001,95,99797
2001,96,74128
2001,97,53050
2001,98,37733
2001,99,25323
2001,100,49215
2002,0,3997963
2002,1,4062698
2002,2,3909948
2002,3,3850011
2002,4,3847371
2002,5,3865241
2002,6,3943575
2002,7,4006560
2002,8,4041894
2002,9,4127457
