"Year","MotherAgeGroup","Births"
2010,"15-19",367678
2010,"20-24",951688
2010,"25-29",1133713
2010,"30-34",962170
2010,"35-39",464870
2010,"40-44",107045
2010,"45-49",7154
2010,"50+",571
2010,"Under 15",4497
2011,"15-19",329772
2011,"20-24",925200
2011,"25-29",1127583
2011,"30-34",986682
2011,"35-39",463849
2011,"40-44",108920
2011,"45-49",7025
2011,"50+",585
2011,"Under 15",3974
2012,"15-19",305388
2012,"20-24",916811
2012,"25-29",1123900
2012,"30-34",1013416
2012,"35-39",472318
2012,"40-44",109579
2012,"45-49",7157
2012,"50+",600
2012,"Under 15",3672
2013,"15-19",273105
2013,"20-24",896745
2013,"25-29",1120777
2013,"30-34",1036927
2013,"35-39",483873
2013,"40-44",109484
2013,"45-49",7495
2013,"50+",677
2013,"Under 15",3098
2014,"15-19",249078
2014,"20-24",882567
2014,"25-29",1145392
2014,"30-34",1081058
2014,"35-39",508748
2014,"40-44",110021
2014,"45-49",7700
2014,"50+",743
2014,"Under 15",2769
2015,"15-19",229715
2015,"20-24",850509
2015,"25-29",1152311
2015,"30-34",1094693
2015,"35-39",527996
2015,"40-44",111848
2015,"45-49",8171
2015,"50+",754
2015,"Under 15",2500
2016,"15-19",209809
2016,"20-24",803978
2016,"25-29",1149122
2016,"30-34",1111042
2016,"35-39",547488
2016,"40-44",113140
2016,"45-49",8257
2016,"50+",786
2016,"Under 15",2253
2017,"15-19",194377
2017,"20-24",764780
2017,"25-29",1123577
2017,"30-34",1091917
2017,"35-39",554796
2017,"40-44",114813
2017,"45-49",8483
2017,"50+",840
2017,"Under 15",1917
2018,"15-19",179871
2018,"20-24",726175
2018,"25-29",1099491
2018,"30-34",1090697
2018,"35-39",566786
2018,"40-44",117381
2018,"45-49",8616
2018,"50+",959
2018,"Under 15",1736
2019,"15-19",171674
2019,"20-24",704342
2019,"25-29",1078097
2019,"30-34",1089281
2019,"35-39",572598
2019,"40-44",120152
2019,"45-49",8536
2019,"50+",1073
2019,"Under 15",1787
2020,"15-19",158043
2020,"20-24",665595
2020,"25-29",1024402
2020,"30-34",1069984
2020,"35-39",564059
2020,"40-44",120570
2020,"45-49",8234
2020,"50+",995
2020,"Under 15",1765
2021,"15-19",146973
2021,"20-24",648484
2021,"25-29",1023989
2021,"30-34",1115055
2021,"35-39",592179
2021,"40-44",126332
2021,"45-49",8362
2021,"50+",1041
2021,"Under 15",1877
2022,"15-19",143789
2022,"20-24",638685
2022,"25-29",1013417
2022,"30-34",1118787
2022,"35-39",606598
2022,"40-44",134115
2022,"45-49",9312
2022,"50+",1230
2022,"Under 15",1825
2023,"15-19",140977
2023,"20-24",616970
2023,"25-29",986567
2023,"30-34",1098052
2023,"35-39",604631
2023,"40-44",136333
2023,"45-49",9504
2023,"50+",1217
2023,"Under 15",1766
2024,"15-19",136831
2024,"20-24",609738
2024,"25-29",987902
2024,"30-34",1109390
2024,"35-39",620749
2024,"40-44",141006
2024,"45-49",9675
2024,"50+",1251
2024,"Under 15",1725
2025,"15-19",73816
2025,"20-24",340138
2025,"25-29",571177
2025,"30-34",643288
2025,"35-39",365270
2025,"40-44",81739
2025,"45-49",5819
2025,"50+",719
2025,"Under 15",818
